EmployeeID,Age,Gender,JobLevel,Turnover
117,48,Female,Entry,Y
118,59,F,Entry,N
119,39,Female,Mid,N
120,34,F,Senior,N
121,51,Other,Mid,N
122,34,male,Mid,Y
123,55,F,Entry,N
124,57,F,Entry,N
125,51,Female,Senior,Y
126,46,F,Entry,N
127,23,Other,nan,N
128,57,Other,Mid,N
129,39,Other,Mid,N
130,26,Female,Entry,N
131,40,male,Mid,N
132,39,Female,Mid,Y
133,53,Other,Entry,N
134,42,Female,Entry,Y
135,31,Other,Senior,N
136,58,Male,Mid,N
137,43,Male,Mid,N
138,34,F,Entry,N
139,38,male,Mid,N
140,30,Male,Mid,N
141,45,Other,Mid,N
142,35,Female,Mid,N
143,29,Female,Mid,N
144,58,F,Mid,N
145,40,Female,Entry,Y
146,49,Male,Senior,N
147,51,Female,Mid,N
148,28,Male,Entry,Y
149,47,Male,Mid,Y
150,32,male,Senior,Y
151,35,F,Entry,N
152,42,Other,Entry,N
153,29,Male,Mid,N
154,24,F,Entry,N
155,49,Other,Mid,N
156,50,Female,Entry,N
157,44,F,Mid,N
158,39,F,Entry,N
159,56,F,Entry,N
160,34,Female,Senior,N
161,33,Female,Mid,N
162,26,F,Entry,N
163,32,male,Entry,Y
164,32,Male,Mid,Y
165,52,Female,Mid,N
166,52,male,nan,N
167,34,Female,nan,N
168,35,F,Mid,N
169,46,male,Mid,Y
170,54,Other,Mid,Y
171,54,Male,Mid,Y
172,36,Male,Entry,N
173,37,Female,Entry,N
174,59,Male,Entry,N
175,27,Other,Entry,N
176,46,male,Entry,N
177,36,male,Mid,N
178,25,F,Mid,N
179,25,male,Mid,N
180,51,Female,Entry,N
181,55,Other,Entry,Y
182,48,F,Mid,Y
183,52,Female,Entry,Y
184,53,Female,Mid,Y
185,30,Female,nan,N
186,29,Male,Entry,N
187,35,Female,Entry,N
188,54,Male,Mid,N
189,44,male,nan,N
190,42,Male,Mid,N
191,33,Female,Senior,N
192,23,Other,Entry,N
193,34,Other,nan,Y
194,25,male,Entry,N
195,41,Female,Entry,N
196,35,Male,Senior,N
197,51,Other,Senior,N
198,50,F,Entry,N
199,29,Female,Entry,Y
200,33,Female,Entry,Y
201,59,F,Entry,N
202,47,Other,Entry,N
203,23,F,nan,N
204,35,male,Mid,Y
205,27,Male,Mid,N
206,52,Male,Mid,N
207,38,Other,Mid,N
208,46,F,Mid,N
209,53,Female,Mid,N
210,33,Female,Entry,N
211,34,Female,Mid,N
212,40,male,Mid,Y
213,46,male,Senior,Y
214,52,Female,nan,N
215,58,Other,Mid,N
216,46,male,Mid,N
217,37,male,Entry,N
218,59,Male,Mid,N
219,44,Male,Entry,N
220,35,Other,Entry,N
221,27,male,Entry,Y
222,46,male,Mid,N
223,44,F,Entry,N
224,33,Other,Senior,N
225,34,Other,Entry,N
226,57,F,Senior,Y
227,55,F,Mid,N
228,27,Male,Entry,Y
229,59,Other,Entry,N
230,29,Other,Mid,Y
231,29,F,Mid,N
232,54,Female,Mid,N
233,55,Female,Entry,N
234,36,Male,Mid,N
235,57,Female,nan,N
236,56,Female,Entry,N
237,43,Female,Mid,N
238,44,male,Entry,N
239,43,Male,Mid,N
240,26,F,Mid,Y
241,52,Female,Entry,N
242,34,male,Entry,N
243,49,Female,Entry,N
244,41,male,Mid,N
245,54,Male,Mid,Y
246,37,Female,nan,N
247,50,male,Mid,Y
248,44,Other,Entry,N
249,45,Other,Senior,N
250,55,male,Mid,N
251,28,Female,Mid,Y
252,59,Female,Entry,N
253,58,Male,Entry,N
254,25,Male,Senior,Y
255,55,F,Mid,N
256,43,Male,Entry,Y
257,26,Female,Mid,Y
258,44,F,Senior,N
259,36,Male,Entry,N
260,52,male,Mid,Y
261,30,Other,nan,Y
262,46,Male,Entry,N
263,46,Male,Mid,N
264,42,male,Mid,N
265,30,Female,Mid,N
266,59,male,Entry,N
267,43,Male,Entry,N
268,44,Female,Mid,N
269,25,F,Entry,N
270,50,Male,Mid,Y
271,36,male,Entry,Y
272,22,F,Entry,N
273,51,Other,nan,Y
274,50,F,Mid,Y
275,41,male,nan,Y
276,54,F,Entry,N
277,57,male,Mid,N
278,43,Male,Entry,N
279,34,Female,Mid,N
280,28,Other,Mid,N
281,29,Female,Entry,N
282,49,Female,Senior,N
283,30,Female,Entry,Y
284,46,male,Mid,Y
285,37,male,nan,Y
286,31,Other,Senior,Y
287,32,male,nan,N
288,52,male,Entry,N
289,33,male,Entry,N
290,52,male,Entry,N
291,35,Male,Mid,N
292,53,Other,Mid,N
293,38,male,Entry,N
294,56,Other,Mid,N
295,22,F,Entry,Y
296,50,Male,Entry,Y
297,25,male,Mid,N
298,44,Male,Mid,N
299,49,Male,Senior,Y
300,37,F,Entry,Y
301,33,Other,Mid,N
302,42,Male,Entry,Y
303,38,Female,Entry,N
304,34,F,Mid,Y
305,53,Female,Senior,N
306,58,F,Entry,N
307,36,Female,Entry,N
308,33,Female,Mid,Y
309,36,Male,Entry,N
310,55,Male,Senior,N
311,27,F,Mid,N
312,38,Other,Entry,N
313,41,Male,Mid,N
314,30,Male,Mid,N
315,26,male,Entry,N
316,44,Male,Mid,N
317,54,Other,Entry,N
318,59,male,Mid,Y
319,35,Female,Entry,N
320,38,Female,Senior,N
321,40,male,Entry,N
322,54,male,Entry,N
323,22,male,Senior,N
324,34,F,Entry,N
325,48,Other,Entry,N
326,27,Other,Entry,N
327,27,Female,Entry,N
328,54,Female,Senior,N
329,51,Female,Mid,N
330,56,Male,Entry,N
331,44,Female,Mid,N
332,31,male,Mid,N
333,40,Female,Senior,Y
334,49,male,Entry,N
335,44,F,Mid,N
336,25,Male,Mid,N
337,41,Male,Mid,Y
338,40,Other,Mid,N
339,48,F,Entry,N
340,55,male,Mid,N
341,25,F,Mid,N
342,59,Male,nan,N
343,28,male,Entry,N
344,28,F,Mid,Y
345,47,Male,Senior,N
346,47,male,Mid,Y
347,40,male,Senior,N
348,30,Male,Senior,N
349,41,male,Entry,N
350,37,Male,Mid,N
351,38,Female,Entry,Y
352,43,Female,Mid,N
353,34,male,Entry,Y
354,33,male,Mid,Y
355,31,Male,Mid,N
356,22,male,Mid,Y
357,53,Other,Entry,N
358,51,Female,nan,N
359,29,male,Entry,Y
360,42,male,Entry,Y
361,43,F,Entry,N
362,39,male,nan,N
363,23,Other,nan,N
364,30,Female,Mid,N
365,24,F,Senior,N
366,47,Male,Entry,N
367,42,Male,nan,N
368,51,Female,Entry,N
369,49,Male,Entry,N
370,57,Other,Entry,N
371,47,male,Mid,N
372,55,Female,Mid,N
373,29,F,Entry,Y
374,31,male,nan,N
375,35,Male,Mid,N
376,36,Male,Entry,N
377,38,F,Mid,Y
378,39,Other,Mid,N
379,53,F,Senior,N
380,59,Female,Mid,N
381,44,F,Mid,Y
382,44,Male,Entry,N
383,56,Other,Mid,Y
384,36,Other,nan,N
385,45,F,Entry,N
386,49,Female,Senior,Y
387,37,Male,Mid,N
388,37,male,Entry,N
389,27,Other,nan,N
390,23,F,Mid,N
391,34,Female,Entry,N
392,30,Female,Entry,N
393,55,Male,Entry,N
394,38,Other,Senior,N
395,48,Male,Mid,N
396,50,male,Senior,Y
397,58,male,Entry,N
398,43,male,Entry,N
399,45,Female,Entry,N
400,28,Other,Mid,N
401,55,Male,nan,N
402,33,Male,Mid,N
403,44,male,Entry,N
404,36,Other,Senior,N
405,54,Other,Mid,Y
406,34,F,Entry,N
407,44,Other,Senior,N
408,59,Other,Entry,N
409,53,Male,Entry,N
410,56,Other,Entry,Y
411,22,Other,Mid,Y
412,26,Male,Mid,N
413,34,Other,Entry,N
414,26,Male,Entry,N
415,53,F,Mid,N
416,42,Female,nan,N
417,45,Male,Mid,Y
418,39,Male,Entry,N
419,42,Other,Entry,N
420,31,Male,Entry,N
421,45,male,Entry,N
422,42,male,Mid,N
423,46,F,Mid,N
424,44,Male,Mid,N
425,43,Other,Mid,N
426,25,Other,Entry,Y
427,55,Female,Entry,N
428,27,F,Mid,N
429,49,Other,Entry,N
430,52,Female,Entry,N
431,56,Other,Entry,N
432,44,Female,Entry,N
433,27,male,Entry,N
434,37,male,Senior,Y
435,23,Other,Senior,N
436,45,F,Entry,Y
437,38,Male,Entry,N
438,22,F,Mid,Y
439,27,F,Entry,N
440,26,Male,Entry,Y
441,50,male,Entry,N
442,33,male,Entry,N
443,24,Male,Mid,N
444,22,Female,Senior,N
445,48,F,Entry,N
446,45,Other,Entry,N
447,40,male,Entry,Y
448,29,Other,Entry,N
449,23,Male,nan,N
450,51,Other,Mid,N
451,51,Other,Mid,N
452,53,F,Mid,N
453,22,Male,Senior,N
454,59,Other,Senior,N
455,34,male,Entry,N
456,32,Male,Entry,Y
457,31,male,Mid,N
458,47,Female,Entry,Y
459,41,Other,nan,N
460,38,Male,Mid,N
461,38,male,nan,N
462,25,Other,Entry,N
463,26,F,Senior,N
464,44,male,Entry,N
465,31,male,nan,N
466,49,Female,Entry,Y
467,54,F,Mid,N
468,47,Female,Mid,N
469,50,F,Mid,Y
470,48,male,Mid,N
471,39,Female,nan,N
472,31,Other,Mid,N
473,26,F,Mid,N
474,31,male,Entry,N
475,42,Male,Senior,N
476,45,F,Mid,N
477,59,F,Mid,N
478,24,Other,Entry,N
479,52,F,Mid,N
480,58,F,Entry,N
481,23,Other,Entry,N
482,23,Other,Mid,N
483,55,Female,Entry,N
484,41,male,Entry,N
485,54,male,Mid,N
486,25,Female,Entry,Y
487,32,male,Entry,N
488,26,F,Entry,N
489,46,Female,Mid,Y
490,58,Female,Mid,N
491,55,male,Mid,N
492,30,Male,Entry,N
493,27,male,Entry,N
494,39,Male,Entry,N
495,35,Female,Mid,N
496,40,Male,Senior,Y
497,35,F,Entry,N
498,38,Other,Entry,N
499,56,Male,Entry,N
500,50,Other,Mid,N
501,38,F,Mid,N
502,29,Other,Mid,N
503,22,F,Senior,N
504,57,Other,Mid,N
505,28,Other,Entry,Y
506,26,male,Entry,N
507,45,Male,Mid,N
508,49,Other,Mid,N
509,38,Female,Mid,N
510,58,male,Mid,N
511,41,Male,Mid,N
512,24,male,Senior,N
513,58,Male,Mid,Y
514,47,F,Mid,N
515,36,Other,Entry,Y
516,29,Female,Mid,N
517,34,male,Senior,N
518,24,male,Entry,N
519,22,male,Mid,Y
520,30,male,Mid,N
521,52,Other,Entry,N
522,47,Male,Mid,N
523,38,Other,Entry,N
524,55,F,nan,Y
525,30,Other,Senior,N
526,34,Other,Entry,N
527,26,F,Entry,N
528,34,Other,Mid,N
529,22,Male,Entry,N
530,46,Female,Entry,N
531,25,F,Mid,N
532,57,male,Entry,Y
533,31,Male,Entry,N
534,49,Female,Senior,N
535,27,Male,Senior,Y
536,48,Male,Mid,N
537,33,male,Senior,N
538,24,Female,Entry,N
539,54,Male,Entry,N
540,31,male,Entry,N
541,52,F,Mid,Y
542,36,male,Senior,N
543,28,Other,Mid,Y
544,57,male,Senior,N
545,35,male,Mid,N
546,35,male,Entry,N
547,24,Male,Mid,N
548,24,Female,Entry,N
549,43,male,Entry,N
550,40,male,Mid,N
551,56,Other,Mid,N
552,33,Other,Mid,N
553,26,F,Mid,N
554,31,F,Entry,Y
555,54,Other,Mid,N
556,34,Female,Mid,Y
557,56,F,Entry,N
558,53,Female,Senior,N
559,32,Other,Mid,N
560,59,F,Mid,N
561,45,male,Senior,N
562,56,Other,Senior,N
563,40,F,Senior,N
564,27,Female,Entry,N
565,56,Female,Entry,N
566,25,F,Entry,N
567,54,Female,Entry,N
568,34,F,Senior,N
569,57,F,Mid,N
570,40,Female,Entry,N
571,33,Male,Entry,N
572,32,male,Entry,N
573,27,Other,Mid,N
574,33,male,Mid,N
575,48,Other,Senior,N
576,46,Other,Senior,N
577,24,male,Entry,N
578,24,F,Entry,N
579,41,Female,Entry,N
580,49,Male,Entry,N
581,44,Male,Senior,N
582,24,Male,Mid,N
583,45,male,Mid,Y
584,27,male,Mid,N
585,41,F,Entry,N
586,32,Male,Entry,Y
587,53,F,Mid,N
588,48,Male,Mid,N
589,42,male,Entry,Y
590,34,Female,Mid,N
591,43,Female,Senior,N
592,56,Female,Mid,N
593,43,Female,Mid,N
594,49,Other,Mid,N
595,42,Male,Mid,N
596,39,Female,Mid,N
597,52,Other,nan,N
598,58,Other,Entry,N
599,42,Other,Mid,N
600,35,F,Entry,N
601,46,F,Entry,N
602,48,Other,Mid,N
603,44,Female,Senior,N
604,52,Male,Entry,N
605,50,male,Entry,N
606,51,F,Entry,N
607,47,Female,Mid,N
608,41,Female,Entry,N
609,59,male,Entry,N
610,40,male,Mid,N
611,48,Female,Entry,N
612,46,male,Mid,N
613,59,Female,Mid,N
614,44,male,Entry,N
615,50,male,Mid,N
616,36,Female,Mid,N
617,24,Other,Mid,N
618,31,Female,Mid,Y
619,36,Male,Entry,N
620,37,male,Senior,Y
621,38,F,Mid,N
622,40,male,Entry,N
623,32,Male,Entry,N
624,26,F,Entry,N
625,26,F,Entry,N
626,35,Female,Mid,Y
627,47,Other,Entry,N
628,29,Female,Entry,Y
629,26,F,Mid,Y
630,28,F,Entry,Y
631,37,Other,Mid,N
632,35,male,Mid,N
633,58,Other,Entry,N
634,25,Female,Mid,N
635,57,male,Mid,Y
636,38,Female,Entry,N
637,57,Other,Entry,Y
638,27,male,Mid,N
639,37,Other,Senior,Y
640,50,Male,Mid,N
641,57,F,Entry,N
642,59,male,Mid,N
643,58,F,Mid,N
644,31,Male,Mid,N
645,57,male,Mid,Y
646,50,F,Mid,N
647,35,F,Senior,N
648,25,male,Mid,Y
649,57,F,Mid,N
650,34,F,Entry,Y
651,39,male,Senior,N
652,54,F,Senior,N
653,42,F,Entry,N
654,37,Female,Mid,N
655,36,Female,Entry,Y
656,26,Male,Mid,N
657,27,Female,Mid,N
658,59,Female,Entry,N
659,24,Male,Senior,N
660,33,F,Entry,N
661,57,F,Mid,N
662,54,Female,Mid,N
663,57,Male,Entry,Y
664,54,F,Entry,N
665,52,Other,Entry,Y
666,42,male,Mid,N
667,48,male,Mid,N
668,48,male,Entry,N
669,29,Female,Entry,Y
670,58,male,Entry,N
671,53,male,Mid,N
672,47,Other,Mid,Y
673,23,F,Entry,N
674,33,Other,Mid,N
675,43,Female,Entry,Y
676,38,male,Senior,N
677,28,F,Senior,N
678,25,male,Mid,N
679,58,male,Senior,N
680,59,Female,Senior,N
681,53,male,Senior,N
682,32,Male,Mid,N
683,22,F,Entry,N
684,46,F,Entry,N
685,45,Male,Entry,Y
686,38,Female,Mid,Y
687,29,male,Entry,N
688,48,male,Entry,N
689,39,F,Mid,Y
690,48,Female,Entry,Y
691,43,Female,Mid,N
692,37,Female,Senior,N
693,23,male,Mid,N
694,26,Female,Mid,N
695,39,Male,Mid,N
696,24,Other,Mid,N
697,48,Female,Entry,N
698,38,Other,Senior,Y
699,37,male,Entry,N
700,27,Female,Entry,N
701,28,F,Mid,N
702,35,male,Entry,Y
703,59,Male,Entry,N
704,36,Male,Entry,N
705,54,Other,Entry,Y
706,48,Other,Entry,N
707,50,F,Entry,N
708,58,F,Mid,N
709,26,Male,Senior,N
710,50,Female,Entry,N
711,53,Male,Senior,N
712,27,Male,Entry,N
713,23,F,Entry,Y
714,27,Other,Entry,N
715,25,F,Mid,N
716,50,F,Mid,Y
717,46,F,Mid,N
718,30,Male,Mid,N
719,24,Female,Mid,N
720,47,Male,Mid,N
721,48,male,Senior,N
722,57,F,Entry,Y
723,53,F,Entry,Y
724,22,male,Mid,N
725,37,F,Mid,N
726,32,F,Entry,N
727,47,F,Entry,N
728,22,male,Mid,N
729,47,Male,Mid,N
730,49,F,Entry,N
731,30,Female,Senior,Y
732,43,male,Mid,N
733,29,Other,Mid,N
734,48,male,Mid,N
735,40,Male,Senior,N
736,46,male,Entry,N
737,59,Other,Entry,N
738,42,Female,Mid,N
739,45,Other,Mid,N
740,45,male,Entry,N
741,40,Other,nan,N
742,23,male,Mid,Y
743,35,Female,Entry,N
744,53,Female,Entry,N
745,53,Male,Entry,N
746,49,Female,Mid,N
747,34,F,nan,N
748,33,Other,Mid,N
749,29,Other,nan,N
750,36,male,Senior,N
751,47,Female,Mid,Y
752,33,Male,Mid,N
753,48,Male,Mid,N
754,39,Male,Mid,N
755,57,F,Entry,N
756,48,Female,Mid,N
757,30,Male,Entry,Y
758,22,F,Senior,Y
759,28,Other,Senior,N
760,47,male,Entry,N
761,28,Female,Entry,N
762,28,Female,Mid,N
763,29,Other,Mid,N
764,37,Female,Entry,N
765,24,Female,Mid,N
766,31,Female,Entry,N
767,28,Female,Entry,N
768,42,F,Entry,N
769,58,F,Entry,N
770,52,male,Mid,N
771,44,Female,nan,N
772,48,Other,Mid,Y
773,43,Male,Mid,N
774,48,male,Entry,N
775,25,Male,Mid,Y
776,45,Male,Entry,N
777,44,Female,Mid,N
778,40,Other,Senior,N
779,24,Male,Entry,Y
780,48,Male,Mid,N
781,24,male,Entry,N
782,49,Other,Entry,N
783,38,Other,Entry,N
784,52,Male,Entry,N
785,31,Other,Entry,N
786,43,male,Entry,N
787,51,male,Mid,N
788,42,male,Entry,N
789,57,Female,Mid,N
790,44,Male,Senior,N
791,59,Other,Mid,N
792,33,male,Entry,Y
793,46,Male,Entry,N
794,41,Male,Senior,N
795,28,Female,Mid,N
796,50,Other,Mid,N
797,50,Other,Entry,N
798,34,male,Mid,N
799,24,male,Entry,N
800,23,Male,Senior,N
801,37,Other,Senior,N
802,51,Other,Entry,N
803,59,male,Mid,N
804,27,F,Entry,N
805,28,Male,Mid,N
806,26,Other,Senior,N
807,28,Female,Mid,Y
808,55,Female,Entry,N
809,53,F,Entry,N
810,34,male,Senior,N
811,51,male,Mid,N
812,46,male,Mid,N
813,42,Female,Entry,N
814,42,male,Entry,N
815,49,Female,nan,N
816,41,F,Mid,Y
817,55,Male,Mid,N
818,26,Other,Mid,N
819,39,F,Mid,Y
820,32,Female,Entry,N
821,38,F,Entry,N
822,43,Other,Mid,Y
823,58,Male,Mid,N
824,41,Other,Mid,Y
825,27,Female,Senior,N
826,55,Other,Entry,N
827,35,F,Entry,N
828,44,male,nan,N
829,41,F,Mid,N
830,34,Female,Mid,Y
831,53,Male,Mid,N
832,47,Other,Mid,N
833,35,Male,Entry,Y
834,57,Female,Mid,N
835,29,Other,Senior,N
836,43,F,Mid,N
837,43,F,Mid,N
838,37,Female,Entry,N
839,48,Other,Entry,N
840,31,F,Entry,N
841,46,Female,Entry,Y
842,52,Female,nan,N
843,42,Male,Mid,N
844,48,F,Mid,N
845,38,Other,Mid,N
846,54,F,Entry,Y
847,52,F,nan,N
848,47,F,Entry,Y
849,42,Female,Entry,Y
850,57,male,Mid,N
851,22,male,Senior,Y
852,25,Male,Senior,Y
853,25,F,Entry,N
854,47,male,Senior,Y
855,25,Male,Entry,Y
856,30,Female,Entry,Y
857,51,F,Senior,N
858,25,Other,Senior,N
859,26,Female,Mid,N
860,44,Male,Mid,N
861,37,Female,Senior,N
862,43,Other,Mid,Y
863,58,Female,Senior,Y
864,29,Male,Mid,N
865,54,Other,nan,N
866,59,Other,nan,N
867,37,Female,Entry,N
868,26,Other,Senior,N
869,37,Female,Mid,Y
870,28,F,Entry,N
871,22,Other,Mid,N
872,30,Female,Entry,N
873,39,F,Mid,N
874,24,Other,Senior,N
875,45,F,Entry,N
876,49,Other,Mid,N
877,31,Male,Senior,N
878,30,Male,Mid,N
879,34,Female,Entry,N
880,56,male,Mid,N
881,44,Male,Mid,N
882,38,male,Mid,Y
883,28,F,Senior,N
884,37,F,Mid,Y
885,57,male,Senior,N
886,41,Female,Mid,N
887,45,Other,Entry,N
888,26,male,Mid,Y
889,27,male,Mid,N
890,49,male,Mid,N
891,26,male,Entry,N
892,59,male,Entry,N
893,23,Female,Entry,N
894,42,Male,Entry,N
895,58,Other,Mid,N
896,39,Male,Entry,Y
897,33,male,Mid,N
898,38,Male,Entry,Y
899,58,Female,Entry,N
900,59,F,Mid,Y
901,36,Male,Entry,N
902,28,Other,Senior,N
903,35,Female,Entry,N
904,22,F,Mid,N
905,59,Female,Senior,Y
906,24,male,Mid,N
907,58,F,Entry,N
908,52,Other,Mid,N
909,34,F,Mid,N
910,39,Other,nan,N
911,38,male,Senior,N
912,38,Other,Entry,N
913,32,Female,nan,N
914,41,Male,Entry,N
915,31,Female,Entry,N
916,50,Female,Senior,N
917,55,F,Entry,Y
918,38,male,Entry,N
919,34,Male,Entry,N
920,48,Other,Mid,N
921,47,F,Mid,N
922,49,male,Mid,N
923,34,Male,Entry,N
924,33,Female,Mid,N
925,49,male,Senior,N
926,23,male,Senior,N
927,58,male,Entry,Y
928,55,Female,nan,Y
929,44,Other,Mid,N
930,50,F,Entry,N
931,56,Other,Entry,N
932,32,Male,Entry,N
933,54,F,Mid,N
934,32,Male,Entry,N
935,30,Female,Mid,N
936,35,Other,Entry,N
937,30,male,Senior,N
938,24,F,Entry,N
939,50,male,Senior,N
940,40,Male,Senior,N
941,57,male,Entry,N
942,53,male,Mid,N
943,28,Female,Entry,N
944,49,Female,Senior,N
945,39,Other,Mid,N
946,26,Male,Entry,N
947,44,Female,Entry,N
948,43,Female,Entry,N
949,47,Other,Senior,N
950,33,F,Mid,Y
951,40,Other,Senior,Y
952,22,male,Entry,N
953,24,male,Entry,N
954,48,Female,nan,N
955,39,Female,Entry,N
956,51,Other,Senior,N
957,23,Other,Entry,Y
958,26,Male,Entry,Y
959,50,male,Mid,N
960,54,Other,nan,N
961,41,F,nan,N
962,51,Male,Entry,N
963,26,Other,Entry,N
964,42,Female,Mid,Y
965,36,Other,Mid,Y
966,41,Female,Mid,N
967,29,Female,Entry,N
968,52,male,nan,N
969,33,male,Mid,N
970,42,Other,Senior,N
971,51,Other,Mid,N
972,48,F,Mid,Y
973,47,Male,nan,N
974,54,Male,Mid,N
975,47,Other,Senior,N
976,47,male,nan,Y
977,57,F,Mid,N
978,22,Male,Mid,Y
979,36,Other,Entry,N
980,22,male,Entry,N
981,32,male,Entry,N
982,23,male,Entry,N
983,22,Female,Entry,N
984,52,male,Entry,N
985,37,Other,Entry,N
986,43,F,Mid,Y
987,39,Other,Entry,N
988,38,male,Entry,N
989,51,F,Mid,N
990,31,Male,Mid,N
991,56,Male,Mid,N
992,42,Other,Mid,N
993,37,F,Senior,N
994,27,Other,Mid,N
995,24,F,Mid,Y
996,42,F,nan,Y
997,34,Other,Senior,N
998,39,F,Mid,N
999,45,male,Mid,N
1000,48,F,Entry,Y
1001,25,F,Mid,N
1002,43,Other,nan,N
1003,45,Male,Mid,N
1004,31,Female,Senior,N
1005,23,F,Mid,N
1006,27,Female,nan,Y
1007,39,F,Mid,N
1008,38,Other,Entry,N
1009,59,Other,Mid,N
1010,44,F,Entry,Y
1011,51,Other,Entry,N
1012,42,Other,Senior,N
1013,31,F,Entry,N
1014,34,Male,Mid,Y
1015,33,F,Entry,Y
1016,30,Male,Entry,Y
1017,25,Other,nan,N
1018,45,Male,Entry,Y
1019,55,Other,Mid,N
1020,26,Male,Mid,Y
1021,36,Male,Mid,N
1022,25,F,Senior,Y
1023,29,Male,Mid,N
1024,45,Other,Mid,N
1025,49,F,Senior,N
1026,48,Male,Entry,N
1027,22,F,Mid,Y
1028,55,Female,nan,N
1029,38,F,Mid,N
1030,58,Female,Senior,Y
1031,59,Female,Mid,N
1032,47,F,Senior,Y
1033,45,Other,Senior,N
1034,42,Other,Entry,N
1035,51,Other,Entry,N
1036,34,male,Mid,N
1037,58,Female,Mid,Y
1038,24,F,Entry,N
1039,53,Other,Entry,Y
1040,56,Other,Entry,N
1041,40,F,nan,Y
1042,35,Female,Mid,N
1043,43,F,Mid,N
1044,38,male,Entry,N
1045,25,male,Entry,N
1046,40,F,Entry,N
1047,58,Female,Entry,N
1048,23,Other,Senior,N
1049,36,male,nan,N
1050,23,male,Entry,N
1051,32,Female,Entry,N
1052,44,male,Entry,N
1053,31,male,Mid,Y
1054,24,Female,Entry,N
1055,26,F,Entry,Y
1056,24,Other,Entry,Y
1057,59,Other,Mid,N
1058,34,male,Mid,N
1059,40,Other,Mid,N
1060,56,F,Entry,Y
1061,45,male,Senior,N
1062,45,Other,nan,N
1063,38,Male,Entry,Y
1064,31,Male,Entry,N
1065,23,Male,Mid,N
1066,44,Male,Entry,N
1067,27,Male,Mid,Y
1068,23,male,Mid,N
1069,42,Female,Mid,N
1070,56,Female,Entry,N
1071,50,male,Mid,N
1072,28,male,nan,Y
1073,50,F,Entry,N
1074,58,Female,Mid,N
1075,44,Male,Entry,Y
1076,54,male,Entry,N
1077,29,Male,Mid,N
1078,33,Female,Entry,Y
1079,31,Other,Entry,N
1080,36,Other,Entry,N
1081,45,male,Mid,N
1082,47,F,Mid,N
1083,24,Male,Entry,N
1084,23,male,Mid,N
1085,27,F,Entry,N
1086,42,Male,Mid,N
1087,30,Female,Mid,Y
1088,31,Other,Mid,N
