CustomerID,Age,Gender,IncomeLevel,LoyaltyMember,ZipCode
C00109,57,female,Low,Y,43009
C00110,33,Male,Medium,N,23983
C00111,48,female,Medium,Y,39277
C00112,64,female,,N,44044
C00113,60,Female,,N,62439
C00114,69,M,,Y,31347
C00115,69,male,Low,N,48672
C00116,57,M,High,Y,08660
C00117,67,F,Medium,Y,98625
C00118,53,Female,Medium,Y,17600
C00119,46,F,High,N,02076
C00120,24,Female,High,N,88918
C00121,68,male,High,Y,51803
C00122,36,F,High,Y,23631
C00123,34,female,Low,Y,91775
C00124,55,Male,Low,Y,39398
C00125,31,Female,Medium,Y,27103
C00126,54,Female,Medium,Y,61858
C00127,61,M,Medium,N,29308
C00128,24,M,Medium,Y,54779
C00129,39,F,Low,N,41950
C00130,20,M,High,N,05158
C00131,69,Female,High,N,18081
C00132,61,male,High,Y,61082
C00133,59,male,,Y,66785
C00134,20,F,Medium,N,80022
C00135,30,M,,Y,17609
C00136,26,female,Low,Y,52009
C00137,46,F,Low,N,26640
C00138,40,M,High,N,41761
C00139,67,Female,High,N,75617
C00140,56,M,,N,81650
C00141,21,M,High,Y,52170
C00142,68,female,Medium,Y,28103
C00143,40,female,Low,Y,18424
C00144,38,Male,Medium,N,12147
C00145,51,Male,Low,Y,38997
C00146,52,Male,High,N,33229
C00147,61,F,Medium,Y,96724
C00148,36,Male,Low,Y,41157
C00149,59,Female,Low,N,35226
C00150,62,male,High,Y,14812
C00151,19,F,Medium,Y,11903
C00152,58,Female,High,N,29098
C00153,29,Male,Medium,N,71899
C00154,32,Male,High,N,96039
C00155,49,M,Low,Y,94481
C00156,62,M,High,N,55568
C00157,18,female,High,Y,95723
C00158,33,M,Low,N,87933
C00159,30,male,High,N,10716
C00160,35,M,High,Y,19636
C00161,24,M,Medium,N,88399
C00162,62,male,Low,Y,06597
C00163,28,Male,,Y,56547
C00164,38,M,High,Y,76705
C00165,56,Female,Low,N,54468
C00166,54,Male,Low,N,76908
C00167,48,male,Medium,N,76232
C00168,28,male,High,N,12770
C00169,36,Female,High,N,94084
C00170,24,Female,High,Y,77007
C00171,25,male,High,Y,30678
C00172,24,M,Low,N,77211
C00173,59,F,Low,N,88969
C00174,18,F,Medium,N,87337
C00175,43,M,Low,N,92046
C00176,21,male,Low,Y,22982
C00177,32,female,Low,Y,84562
C00178,68,Female,Medium,N,31244
C00179,65,male,Medium,N,97009
C00180,69,Male,High,Y,17184
C00181,36,male,High,N,14564
C00182,68,Male,Medium,Y,75804
C00183,52,M,Medium,Y,37416
C00184,39,F,Low,Y,30360
C00185,49,Male,Medium,N,08047
C00186,54,Male,Low,N,23542
C00187,38,male,Medium,N,42896
C00188,58,male,High,N,22098
C00189,45,female,Medium,Y,53395
C00190,69,Male,High,N,88511
C00191,56,M,High,Y,36042
C00192,58,Female,High,N,48496
C00193,69,M,High,N,75865
C00194,69,female,High,N,33391
C00195,63,Female,Medium,N,58755
C00196,18,Male,High,Y,24784
C00197,66,Female,Low,N,74978
C00198,42,male,Low,N,11175
C00199,48,M,,N,76179
C00200,34,F,Low,N,15173
C00201,52,M,Low,Y,17838
C00202,52,male,Low,Y,39480
C00203,55,Female,Low,N,59953
C00204,20,M,Medium,Y,79329
C00205,21,female,Low,N,89237
C00206,18,M,Low,Y,28637
C00207,58,Male,Medium,N,00853
C00208,24,male,Medium,N,07014
C00209,18,male,Medium,Y,32460
C00210,42,Female,High,N,59965
C00211,22,F,Low,N,05343
C00212,52,female,High,Y,88797
C00213,68,M,Low,Y,31653
C00214,58,Female,Low,Y,00991
C00215,47,female,High,N,70904
C00216,35,female,High,N,21545
C00217,27,Female,Low,Y,97824
C00218,60,Female,Low,Y,96236
C00219,65,Male,High,N,78889
C00220,22,female,Medium,Y,59138
C00221,55,M,Medium,Y,08839
C00222,20,Male,Low,Y,79220
C00223,54,Male,High,Y,66007
C00224,26,F,High,N,52888
C00225,29,M,Medium,Y,87788
C00226,20,Male,Medium,N,40284
C00227,34,Female,High,N,56920
C00228,28,M,High,N,96008
C00229,21,Male,Medium,Y,55228
C00230,21,Male,,Y,96488
C00231,41,Female,Low,N,56411
C00232,52,M,High,N,32696
C00233,26,F,Low,Y,94484
C00234,39,F,Low,N,94541
C00235,49,M,High,N,25845
C00236,33,M,Medium,Y,39044
C00237,56,female,Low,N,41638
C00238,21,Male,Medium,Y,30197
C00239,36,female,High,Y,83070
C00240,56,Male,High,Y,27651
C00241,68,M,Low,N,49167
C00242,24,M,Low,N,29524
C00243,29,M,High,N,20743
C00244,52,Male,High,N,03337
C00245,51,Male,Medium,N,29399
C00246,54,female,Low,Y,09220
C00247,56,male,Low,Y,44431
C00248,55,female,High,Y,47061
C00249,63,male,Low,N,74307
C00250,53,Male,,N,10910
C00251,58,M,Low,N,75864
C00252,38,female,High,N,10504
C00253,55,M,Medium,N,37474
C00254,58,Male,Low,N,93060
C00255,68,F,,Y,70042
C00256,65,Male,High,Y,66938
C00257,69,M,High,Y,85282
C00258,63,male,High,Y,36837
C00259,63,M,Low,N,02924
C00260,53,male,High,Y,03495
C00261,45,Male,Medium,N,71571
C00262,59,F,Medium,Y,44154
C00263,59,Male,High,Y,08878
C00264,30,M,,N,36615
C00265,65,male,Medium,N,26570
C00266,19,Female,High,N,15302
C00267,51,Female,High,Y,18830
C00268,27,male,High,N,38470
C00269,21,Male,Low,N,77560
C00270,56,M,Low,N,40642
C00271,42,male,,N,34684
C00272,58,F,Medium,N,77613
C00273,66,Female,Low,N,86083
C00274,28,M,Medium,N,73838
C00275,63,Male,Low,Y,81829
C00276,47,Female,Medium,N,94786
C00277,42,Male,Low,Y,04866
C00278,29,male,Low,N,90567
C00279,58,male,Low,N,13811
C00280,57,female,Low,N,92685
C00281,63,F,Low,N,07127
C00282,32,F,High,Y,60799
C00283,24,male,High,Y,27248
C00284,45,Male,Medium,Y,60256
C00285,38,M,Medium,N,10715
C00286,69,male,,N,54395
C00287,37,Female,High,N,91984
C00288,53,F,High,N,04852
C00289,41,F,Low,N,27307
C00290,53,Male,Medium,Y,33177
C00291,58,Male,High,N,23429
C00292,50,M,High,N,43170
C00293,62,male,High,Y,16597
C00294,68,female,Medium,N,35389
C00295,64,Female,Low,N,16084
C00296,32,Female,,N,65697
C00297,28,Female,Medium,Y,90403
C00298,32,M,Medium,N,42526
C00299,48,Female,Low,Y,19668
C00300,67,female,Medium,Y,51442
C00301,55,female,High,N,56479
C00302,64,female,Medium,N,30120
C00303,41,F,Low,N,09679
C00304,23,Female,Low,N,17289
C00305,69,female,,N,93419
C00306,58,male,Low,Y,85745
C00307,66,Female,Low,N,95950
C00308,60,M,Medium,Y,43647
C00309,43,M,Low,Y,00802
C00310,64,Female,Low,Y,63772
C00311,39,Female,Medium,N,53849
C00312,26,female,High,Y,11908
C00313,56,male,Medium,N,09097
C00314,51,Female,Low,N,06465
C00315,60,male,High,N,74236
C00316,52,Male,Medium,N,57064
C00317,18,male,High,N,07726
C00318,35,Male,High,Y,13943
C00319,34,M,High,Y,75995
C00320,35,M,High,Y,17233
C00321,27,Male,Low,Y,15572
C00322,47,Male,High,N,02213
C00323,44,Male,,Y,45769
C00324,50,male,Medium,Y,28423
C00325,22,male,Medium,Y,91887
C00326,40,Male,High,Y,08641
C00327,60,male,High,N,18600
C00328,62,F,,N,70918
C00329,28,Male,Medium,N,95495
C00330,47,M,Low,N,72970
C00331,23,M,High,Y,79484
C00332,57,female,Low,Y,85869
C00333,61,M,High,N,05624
C00334,64,male,High,Y,24976
C00335,63,female,High,N,24323
C00336,65,female,High,N,18075
C00337,57,F,,Y,64145
C00338,56,F,Medium,Y,70694
C00339,58,female,High,Y,92734
C00340,32,F,High,Y,63137
C00341,49,F,Medium,N,49982
C00342,36,female,Low,Y,33523
C00343,33,F,Low,Y,57736
C00344,66,female,Low,N,68638
C00345,22,male,Medium,N,37233
C00346,31,M,Medium,Y,73745
C00347,28,F,High,N,39338
C00348,23,female,High,N,90141
C00349,36,female,Low,N,91843
C00350,51,female,Medium,Y,53978
C00351,50,male,High,Y,06008
C00352,49,M,Medium,Y,52209
C00353,65,F,Medium,Y,88471
C00354,40,M,Low,Y,79171
C00355,36,Male,High,N,29715
C00356,59,F,Medium,Y,31613
C00357,38,Male,High,Y,65218
C00358,42,F,High,Y,71008
C00359,45,Female,Medium,Y,92004
C00360,38,female,Medium,N,32206
C00361,39,Male,Medium,N,57850
C00362,60,F,Medium,N,76819
C00363,22,male,,Y,86152
C00364,48,Female,,Y,54761
C00365,53,Female,Medium,N,27237
C00366,20,female,Medium,N,54280
C00367,25,male,High,N,23637
C00368,38,M,High,Y,93167
C00369,43,male,High,Y,33135
C00370,20,male,Medium,N,12031
C00371,64,Female,,Y,32196
C00372,37,female,Low,Y,16046
C00373,41,male,Low,Y,99115
C00374,46,Female,Medium,N,45534
C00375,48,male,Medium,Y,93305
C00376,44,Female,,Y,02638
C00377,38,Male,Low,N,96646
C00378,19,M,High,N,32747
C00379,26,F,Medium,N,61677
C00380,19,Female,,N,79350
C00381,18,F,Medium,Y,26650
C00382,35,female,Low,Y,15419
C00383,29,Male,Low,Y,92532
C00384,28,F,Low,Y,01513
C00385,35,F,Medium,N,23849
C00386,49,male,Low,N,51807
C00387,58,male,Low,N,56603
C00388,58,male,Medium,Y,91237
C00389,67,F,Medium,N,22842
C00390,41,M,,N,18285
C00391,63,Male,Medium,N,79748
C00392,36,male,Low,Y,61924
C00393,26,female,Low,N,77449
C00394,41,female,,N,55915
C00395,42,female,High,N,74367
C00396,18,Male,,N,67460
C00397,50,Male,Medium,Y,96960
C00398,24,Male,Medium,Y,62213
C00399,54,male,Medium,N,60963
C00400,67,Male,Low,Y,53107
C00401,21,F,High,N,11918
C00402,59,female,Low,Y,16565
C00403,40,M,High,N,05919
C00404,60,Female,Medium,N,81911
C00405,55,F,Low,Y,02195
C00406,53,F,High,N,03808
C00407,42,Male,Medium,N,79252
C00408,34,Female,High,N,22168
C00409,31,Male,Medium,Y,92414
C00410,59,F,Low,N,81702
C00411,21,male,Low,Y,89957
C00412,52,Male,High,N,81023
C00413,33,female,Low,Y,48254
C00414,55,female,,Y,13569
C00415,49,Female,Low,N,09328
C00416,32,male,High,Y,56366
C00417,30,F,Medium,Y,15019
C00418,62,F,Low,Y,40473
C00419,64,F,Low,Y,53172
C00420,44,M,Medium,N,94200
C00421,44,F,High,Y,72993
C00422,46,M,Low,Y,36048
C00423,64,F,,N,77167
C00424,38,F,Medium,N,48562
C00425,40,M,Low,N,72325
C00426,60,F,,N,72423
C00427,27,Male,Medium,Y,16608
C00428,54,male,Medium,N,09059
C00429,67,Male,,N,15517
C00430,69,female,Medium,N,70665
C00431,24,M,High,N,72931
C00432,41,male,High,Y,76467
C00433,56,male,,Y,61630
C00434,64,M,Low,Y,20083
C00435,52,F,Medium,Y,42258
C00436,21,Female,Medium,N,52485
C00437,34,Male,Medium,N,35795
C00438,47,M,Low,N,65495
C00439,22,Male,,N,16164
C00440,56,Male,Low,N,23260
C00441,44,M,Medium,N,78436
C00442,33,Female,Low,Y,48266
C00443,28,Male,High,N,73601
C00444,49,Male,Low,Y,94286
C00445,39,male,High,N,02661
C00446,62,F,High,Y,93532
C00447,64,F,Low,Y,03944
C00448,58,male,High,N,63434
C00449,23,male,High,N,68670
C00450,40,male,Low,N,52566
C00451,18,M,,Y,48151
C00452,47,female,Low,N,12899
C00453,61,Male,Low,Y,67986
C00454,30,M,High,N,88696
C00455,67,M,,Y,34629
C00456,51,Female,,Y,37628
C00457,49,Male,High,N,52110
C00458,28,Female,High,N,02255
C00459,68,F,Low,Y,59816
C00460,36,F,High,Y,12260
C00461,57,F,,N,88404
C00462,54,male,,N,08373
C00463,45,M,,Y,18764
C00464,53,M,High,N,64698
C00465,41,M,High,Y,46749
C00466,44,female,Low,N,04364
C00467,52,Female,Low,N,73913
C00468,27,M,,N,65400
C00469,32,male,Low,Y,29582
C00470,29,female,,N,44079
C00471,19,M,Medium,Y,40199
C00472,24,F,High,Y,89000
C00473,66,M,Low,Y,96533
C00474,19,female,Low,Y,94505
C00475,23,M,Low,N,87200
C00476,53,Female,High,N,01342
C00477,46,male,Low,Y,43897
C00478,63,female,High,N,68065
C00479,41,F,High,Y,84113
C00480,64,male,Medium,N,37857
C00481,44,female,Medium,N,10996
C00482,62,M,Medium,Y,43404
C00483,39,M,Medium,N,31789
C00484,19,M,High,Y,41995
C00485,57,Male,Low,N,81053
C00486,36,F,,N,09614
C00487,45,female,,N,57742
C00488,59,male,,N,96372
C00489,24,F,High,N,31406
C00490,57,Male,High,Y,77542
C00491,68,F,Low,N,50719
C00492,44,male,High,Y,59702
C00493,19,M,Low,N,69682
C00494,63,M,Medium,Y,78787
C00495,59,Male,High,Y,19963
C00496,35,M,High,N,79277
C00497,27,M,Low,N,97710
C00498,31,female,Low,Y,97904
C00499,62,Female,,Y,82510
C00500,29,female,High,Y,41801
C00501,52,F,Low,Y,71679
C00502,23,male,Medium,N,19785
C00503,47,female,Low,N,99409
C00504,45,Male,Medium,N,45723
C00505,23,Female,Medium,N,61666
C00506,27,M,High,N,30310
C00507,55,Male,,N,63154
C00508,19,Female,High,N,03956
C00509,33,Male,Medium,N,97702
C00510,31,Female,Low,N,72573
C00511,39,Female,Low,N,53031
C00512,33,female,Low,Y,40903
C00513,69,M,High,Y,74446
C00514,36,F,Low,N,58826
C00515,52,male,,Y,45375
C00516,24,Female,Low,N,11991
C00517,50,female,Medium,N,81529
C00518,29,Female,Medium,Y,63489
C00519,46,F,Low,N,67996
C00520,21,male,Low,Y,61180
C00521,59,M,High,N,41942
C00522,33,female,Low,Y,51339
C00523,43,male,Medium,N,88396
C00524,36,male,High,Y,39885
C00525,65,male,Low,N,87281
C00526,44,female,Low,N,15168
C00527,48,male,High,Y,42950
C00528,51,F,,Y,04919
C00529,22,M,High,N,40454
C00530,22,M,High,N,90234
C00531,58,male,High,N,12859
C00532,55,F,Low,Y,05979
C00533,67,female,Low,Y,72838
C00534,24,Female,Medium,N,73904
C00535,20,Male,Low,N,98406
C00536,58,F,High,Y,07182
C00537,21,F,Low,N,00693
C00538,18,M,Low,Y,32493
C00539,40,Female,High,Y,01249
C00540,69,Male,,Y,13489
C00541,46,F,Medium,Y,06649
C00542,54,M,High,N,76444
C00543,18,female,Medium,Y,97779
C00544,49,F,Low,N,36862
C00545,32,male,High,Y,74775
C00546,23,Male,High,N,74896
C00547,62,M,Medium,Y,86967
C00548,18,F,Low,N,06490
C00549,27,F,High,N,62813
C00550,65,male,High,N,99046
C00551,24,Male,Medium,N,02663
C00552,53,F,Low,N,41328
C00553,38,Male,Medium,N,27073
C00554,44,Male,High,Y,07529
C00555,41,M,Medium,N,53648
C00556,59,M,Low,N,77426
C00557,52,female,Low,N,22323
C00558,62,M,High,Y,91717
C00559,42,male,Low,Y,82526
C00560,53,male,Low,N,87127
C00561,61,female,High,N,57247
C00562,47,male,Low,N,30640
C00563,41,F,Medium,N,56245
C00564,41,Female,High,Y,78760
C00565,31,male,Medium,Y,03608
C00566,36,male,Low,N,06069
C00567,66,F,Medium,N,17198
C00568,40,Female,High,N,55978
C00569,37,female,Low,N,70137
C00570,54,Female,Low,N,15613
C00571,22,M,Medium,N,87842
C00572,26,male,High,N,32520
C00573,40,Male,High,Y,99713
C00574,51,F,Low,Y,07135
C00575,39,M,High,Y,60887
C00576,50,F,Low,Y,52666
C00577,62,F,Low,Y,33509
C00578,24,Male,High,Y,81692
C00579,20,female,Medium,N,32216
C00580,68,Male,Medium,N,14893
C00581,45,female,High,N,40886
C00582,64,male,Low,N,65823
C00583,20,male,Medium,Y,24964
C00584,44,Female,Low,N,15360
C00585,49,male,Low,N,79537
C00586,18,female,Medium,N,63348
C00587,61,M,High,Y,41017
C00588,55,female,Medium,N,29768
C00589,27,Male,Medium,Y,82206
C00590,49,male,High,Y,09662
C00591,51,Male,Medium,Y,26041
C00592,34,male,Low,Y,81445
C00593,55,F,High,N,21171
C00594,59,Male,,N,02822
C00595,29,Male,High,Y,68942
C00596,67,Female,Low,Y,88741
C00597,41,female,,Y,86957
C00598,24,M,Medium,Y,16814
C00599,21,M,High,Y,93512
C00600,52,Male,Medium,Y,20206
C00601,36,Female,,N,67976
C00602,49,Female,Medium,N,22299
C00603,29,Male,Low,N,17971
C00604,62,M,Medium,N,16346
C00605,25,male,Medium,N,14374
C00606,62,Female,,N,70255
C00607,40,female,High,Y,39135
C00608,45,female,Medium,N,42967
C00609,50,M,Medium,Y,39351
C00610,31,Female,High,N,17459
C00611,28,Female,Low,Y,46195
C00612,49,M,,N,05947
C00613,36,M,Low,Y,48426
C00614,57,female,Low,Y,75167
C00615,37,Male,High,N,49573
C00616,21,female,Low,N,99613
C00617,60,M,Medium,Y,05916
C00618,36,F,Low,Y,49020
C00619,62,F,Low,Y,93277
C00620,30,female,Medium,N,09471
C00621,65,female,High,Y,95239
C00622,47,F,High,Y,99150
C00623,59,Male,Low,N,40485
C00624,60,Female,Medium,N,56573
C00625,25,female,High,Y,13026
C00626,57,Female,Medium,N,40070
C00627,18,M,,Y,69843
C00628,66,Female,Medium,N,95023
C00629,62,F,High,Y,92786
C00630,54,Female,High,Y,59310
C00631,34,male,Low,N,67948
C00632,50,male,Low,Y,19127
C00633,32,Female,High,Y,06714
C00634,38,M,Low,Y,58306
C00635,24,Female,,N,12854
C00636,38,male,Low,N,23504
C00637,34,female,High,N,91508
C00638,24,Male,High,Y,26371
C00639,62,Male,High,Y,84058
C00640,39,male,High,Y,71928
C00641,61,F,High,Y,92175
C00642,29,M,High,Y,81537
C00643,58,Female,Medium,Y,44056
C00644,26,M,Low,Y,24889
C00645,49,M,Low,N,37357
C00646,32,F,,Y,01374
C00647,50,F,High,N,29814
C00648,69,Male,Medium,Y,23223
C00649,66,Male,Medium,N,74616
C00650,53,Female,High,Y,19667
C00651,51,Female,Low,N,79473
C00652,26,M,Low,N,34573
C00653,61,male,Medium,Y,31272
C00654,57,male,Medium,N,42511
C00655,56,F,Medium,Y,92217
C00656,26,F,Medium,N,93985
C00657,63,female,Low,Y,11764
C00658,29,male,Medium,N,89754
C00659,19,Female,Medium,Y,48912
C00660,34,Female,Medium,Y,38234
C00661,45,M,Low,N,58116
C00662,45,Male,Medium,N,40078
C00663,20,F,,Y,09546
C00664,38,Male,Medium,N,31288
C00665,37,Female,Medium,N,18123
C00666,59,male,High,Y,29235
C00667,64,Female,Low,N,83137
C00668,19,male,Medium,Y,87630
C00669,33,male,Low,N,47829
C00670,53,female,Medium,N,31549
C00671,35,Female,High,Y,38047
C00672,22,female,High,N,85348
C00673,61,Female,High,N,43897
C00674,65,Female,High,Y,09301
C00675,26,male,High,Y,58196
C00676,61,F,Medium,Y,76729
C00677,65,M,Low,N,88839
C00678,57,F,,N,74960
C00679,63,F,Medium,Y,22131
C00680,41,male,Low,Y,28273
C00681,23,female,,Y,71073
C00682,63,M,High,Y,83905
C00683,43,M,Low,N,42861
C00684,18,Female,Low,Y,88527
C00685,69,Female,Medium,N,60572
C00686,18,Male,,N,60414
C00687,27,female,High,N,57417
C00688,33,male,High,Y,30467
C00689,64,Female,Medium,N,27613
C00690,41,Male,High,N,17769
C00691,34,female,Low,Y,61998
C00692,51,Female,Medium,N,54643
C00693,20,Male,High,N,46417
C00694,28,male,Medium,N,47953
C00695,59,Female,Low,N,75669
C00696,24,F,High,Y,04708
C00697,35,female,Low,N,61047
C00698,53,M,Low,Y,56068
C00699,53,female,Medium,N,58546
C00700,68,M,Medium,N,21382
C00701,30,female,Low,Y,77125
C00702,66,female,Medium,Y,30211
C00703,26,Female,High,Y,56105
C00704,29,female,Medium,Y,92663
C00705,58,M,Low,N,32296
C00706,53,Male,High,N,12240
C00707,49,Male,High,N,42809
C00708,51,female,Low,N,88053
C00709,69,Female,Low,N,04858
C00710,26,F,Medium,Y,83386
C00711,46,female,High,N,58566
C00712,29,F,Low,N,72834
C00713,37,F,High,Y,71291
C00714,45,M,Low,N,20161
C00715,22,male,High,N,69761
C00716,35,male,High,N,51615
C00717,18,M,Low,N,76988
C00718,40,female,Low,N,05942
C00719,18,Male,High,Y,06145
C00720,68,M,,Y,37273
C00721,33,Female,Medium,N,36161
C00722,20,M,Low,Y,50191
C00723,42,female,Medium,Y,96076
C00724,22,F,High,Y,16487
C00725,21,F,Low,N,95283
C00726,66,female,Medium,N,58925
C00727,20,male,High,N,46122
C00728,68,F,Medium,Y,84373
C00729,69,male,Low,Y,75170
C00730,68,Female,High,Y,27803
C00731,60,F,Low,N,56720
C00732,46,Male,High,Y,49937
C00733,63,M,High,Y,14500
C00734,52,female,Low,Y,86119
C00735,59,F,Low,Y,15021
C00736,24,female,Low,Y,62008
C00737,30,Female,Medium,Y,17780
C00738,68,F,High,N,47275
C00739,65,M,Low,Y,58160
C00740,22,M,High,Y,40658
C00741,42,female,,N,77255
C00742,46,M,Medium,Y,71478
C00743,40,M,High,Y,14940
C00744,43,Female,Medium,N,66187
C00745,23,Male,,N,06236
C00746,63,Male,Medium,Y,38492
C00747,61,M,Medium,N,18417
C00748,52,F,Medium,N,92267
C00749,50,Male,,Y,69788
C00750,30,Male,Low,N,89659
C00751,67,M,High,N,90708
C00752,60,M,High,N,62603
C00753,64,female,Medium,N,49789
C00754,36,Male,,Y,19946
C00755,68,F,Low,N,27730
C00756,18,M,Low,N,39084
C00757,53,Male,Medium,Y,89256
C00758,52,Male,Medium,N,89081
C00759,61,Male,High,Y,13098
C00760,68,F,High,N,21936
C00761,69,Male,Medium,Y,66214
C00762,51,male,Medium,N,16093
C00763,35,Male,Medium,Y,08748
C00764,64,F,Low,Y,54993
C00765,61,F,Low,Y,67004
C00766,50,Female,Low,Y,98600
C00767,43,M,,N,35181
C00768,40,male,Low,Y,27910
C00769,59,male,Low,Y,37704
C00770,33,Female,Medium,Y,84805
C00771,27,Male,High,Y,47175
C00772,33,F,High,N,75276
C00773,57,female,High,N,47675
C00774,61,M,Low,N,52384
C00775,64,female,,N,52318
C00776,20,male,Medium,N,94770
C00777,58,M,Medium,N,78537
C00778,46,Female,Low,N,90448
C00779,24,female,Low,N,61445
C00780,53,female,High,N,54640
C00781,55,male,Low,N,95720
C00782,47,male,High,N,03901
C00783,20,Male,Medium,N,81528
C00784,62,female,Low,N,41978
C00785,27,female,,Y,01355
C00786,34,M,Medium,Y,41631
C00787,30,Male,High,Y,63929
C00788,39,Female,Low,N,24011
C00789,53,male,Medium,Y,23238
C00790,28,Female,,N,53799
C00791,48,female,Low,N,54043
C00792,37,female,High,Y,62716
C00793,45,Male,High,N,60714
C00794,37,Male,High,Y,42927
C00795,62,Male,Medium,N,67128
C00796,52,female,Medium,N,99719
C00797,29,male,Medium,Y,55390
C00798,55,M,High,Y,64734
C00799,49,M,Medium,Y,56645
C00800,59,M,Low,Y,20873
C00801,39,Female,High,Y,19376
C00802,68,M,Medium,Y,08490
C00803,52,male,Low,Y,57886
C00804,44,M,Medium,Y,70397
C00805,42,F,High,N,33885
C00806,50,female,Low,N,52702
C00807,24,M,Medium,N,97358
C00808,32,M,High,Y,80331
C00809,26,Female,Medium,N,90866
C00810,18,female,Medium,Y,33406
C00811,28,female,High,N,88731
C00812,19,female,Low,N,83188
C00813,62,Female,Low,Y,58104
C00814,62,male,Medium,Y,23300
C00815,55,Male,Low,Y,81487
C00816,37,male,High,Y,17295
C00817,56,F,Low,Y,98206
C00818,18,male,Low,Y,73391
C00819,61,Male,Medium,Y,21193
C00820,22,Male,Medium,Y,96985
C00821,68,Female,,N,29148
C00822,21,Male,Low,N,75699
C00823,41,Female,High,N,64215
C00824,52,Male,High,N,35798
C00825,43,Female,Medium,N,68706
C00826,62,male,Low,Y,67309
C00827,66,Male,Low,N,76218
C00828,66,female,Low,N,58316
C00829,64,male,Medium,Y,83347
C00830,49,F,High,Y,05172
C00831,64,M,High,Y,36335
C00832,27,male,High,Y,22299
C00833,40,M,High,N,49200
C00834,29,male,Medium,N,23841
C00835,32,F,Low,Y,55771
C00836,32,F,,N,04539
C00837,35,female,Medium,N,04198
C00838,61,Female,High,Y,35651
C00839,44,female,Low,N,13129
