CustomerID,TransactionID,Date,StoreID,ProductCategory,AmountSpent,Quantity,DiscountApplied
C03186,T100111,2023-11-08,S045,Electronics,189.17,1,15
C08635,T100112,2023-12-21,S006,Home,136.82,1,15
C05622,T100113,10/16/2023,S012,Toys,55.15,2,20
C04916,T100114,06/26/2023,S017,Home,129.68,1,0
C00951,T100115,06/19/2024,S044,Home,84.83,3,15
C08369,T100116,2024-11-03,S041,Electronics,99.03,1,10
C00592,T100117,2024-05-18,S011,Beauty,5.0,2,0
C01957,T100118,07/09/2024,S023,Beauty,129.87,3,10
C06468,T100119,04/20/2025,S028,Electronics,94.73,4,5
C01172,T100120,2023-10-02,S045,Electronics,82.54,2,15
C01879,T100121,11/29/2024,S020,Home,162.41,2,0
C02600,T100122,07/29/2024,S012,Clothing,24.93,3,10
C07498,T100123,2024-03-20,S016,Beauty,169.29,2,10
C03741,T100124,12/22/2023,S040,Toys,113.26,3,5
C08408,T100125,10/27/2024,S005,Beauty,135.61,3,10
C07202,T100126,2023-10-31,S027,Toys,136.16,2,5
C03959,T100127,04/20/2025,S005,Home,187.62,3,5
C01731,T100128,2024-05-23,S041,Home,203.64,1,0
C06779,T100129,2023-09-13,S018,Beauty,90.17,3,15
C04993,T100130,2025-01-01,S016,Toys,159.05,3,0
C02766,T100131,03/30/2025,S031,Home,77.35,2,5
C08002,T100132,2025-05-31,S023,Clothing,120.64,2,10
C06275,T100133,12/29/2024,S023,Clothing,27.56,1,20
C08346,T100134,2025-03-09,S031,Home,,3,0
C05403,T100135,01/27/2024,S024,Electronics,163.95,1,5
C04120,T100136,2025-05-22,S046,Toys,81.22,4,15
C09084,T100137,2025-01-16,S017,Clothing,81.73,2,15
C02760,T100138,07/12/2023,S011,Home,96.47,2,15
C06179,T100139,09/20/2023,S026,Electronics,25.38,2,15
C04229,T100140,2023-10-14,S036,Beauty,75.33,4,20
C04776,T100141,07/31/2024,S049,Home,63.75,4,10
C01774,T100142,2024-10-05,S032,Home,177.51,4,0
C02943,T100143,2023-11-24,S024,Electronics,86.83,1,5
C02468,T100144,2025-02-16,S010,Home,108.04,2,0
C00088,T100145,2023-09-21,S026,Clothing,104.85,2,15
C05253,T100146,03/19/2025,S045,Toys,5.0,1,20
C06884,T100147,04/01/2024,S017,Toys,61.6,4,10
C01098,T100148,12/15/2023,S015,Home,129.44,2,20
C07595,T100149,2024-03-24,S039,Electronics,114.08,4,10
C06299,T100150,2025-04-23,S044,Toys,80.62,4,0
C00232,T100151,12/29/2023,S047,Home,40.03,3,10
C07072,T100152,2023-09-05,S016,Clothing,96.06,2,0
C08364,T100153,12/17/2023,S004,Clothing,134.86,1,15
C01418,T100154,2024-06-10,S006,Clothing,87.95,2,5
C09003,T100155,2024-06-26,S019,Toys,7.03,4,5
C07189,T100156,02/19/2024,S040,Toys,123.65,1,0
C03053,T100157,2025-04-28,S013,Clothing,65.08,2,20
C03357,T100158,11/14/2023,S015,Clothing,138.12,3,10
C04140,T100159,09/16/2024,S002,Clothing,121.68,3,20
C04800,T100160,05/18/2025,S044,Electronics,73.36,4,5
C06834,T100161,2024-12-06,S020,Clothing,151.7,4,0
C01058,T100162,07/11/2024,S030,Home,198.46,4,5
C08658,T100163,2023-11-27,S041,Home,149.34,2,5
C06012,T100164,2024-01-15,S020,Home,165.37,2,20
C00722,T100165,2023-11-02,S042,Clothing,75.16,1,5
C09941,T100166,2025-06-04,S045,Clothing,,3,5
C04727,T100167,2025-05-19,S032,Beauty,158.3,3,20
C07073,T100168,03/07/2025,S004,Clothing,,1,20
C07324,T100169,2025-04-23,S011,Toys,,4,15
C04903,T100170,02/25/2024,S021,Home,127.68,1,10
C04618,T100171,2025-02-13,S019,Home,118.94,3,5
C01126,T100172,2023-07-24,S001,Toys,134.59,2,5
C06273,T100173,2023-10-09,S028,Beauty,62.71,1,20
C08325,T100174,2023-09-30,S034,Electronics,162.48,3,10
C02934,T100175,2024-03-28,S035,Electronics,78.98,4,5
C07516,T100176,06/20/2024,S050,Electronics,137.85,2,20
C06451,T100177,2024-01-05,S045,Beauty,142.03,2,20
C09312,T100178,2025-04-12,S038,Home,49.18,3,10
C08725,T100179,12/31/2024,S013,Beauty,119.2,4,15
C01303,T100180,2025-02-22,S044,Electronics,99.33,2,10
C06501,T100181,2025-03-31,S046,Electronics,157.07,2,0
C09895,T100182,2024-11-28,S030,Toys,120.25,2,10
C04291,T100183,12/12/2024,S023,Electronics,125.59,2,10
C07487,T100184,2023-09-04,S011,Home,86.95,2,10
C09399,T100185,2025-05-30,S036,Toys,,3,15
C09483,T100186,2023-06-11,S048,Electronics,86.53,4,20
C07665,T100187,2025-05-09,S011,Electronics,123.9,4,15
C02755,T100188,2024-11-12,S036,Beauty,83.49,1,5
C02691,T100189,11/10/2024,S043,Home,149.94,2,20
C02349,T100190,2024-12-06,S035,Home,132.52,4,10
C02938,T100191,01/18/2025,S024,Home,,1,0
C06771,T100192,2024-01-17,S036,Beauty,119.73,2,10
C07869,T100193,03/23/2025,S013,Clothing,44.64,4,15
C00619,T100194,2024-01-05,S038,Toys,201.03,1,20
C02862,T100195,2023-06-10,S046,Home,88.38,1,20
C03313,T100196,01/22/2024,S020,Clothing,155.42,1,10
C06796,T100197,05/28/2024,S007,Home,178.69,2,5
C09046,T100198,04/20/2025,S036,Clothing,192.31,2,20
C04256,T100199,06/13/2024,S049,Home,139.97,2,20
C00674,T100200,10/22/2024,S030,Home,135.65,2,15
C06405,T100201,11/19/2024,S018,Electronics,71.85,4,15
C06919,T100202,08/14/2023,S001,Toys,119.63,3,0
C05910,T100203,07/05/2023,S039,Beauty,28.81,3,5
C09805,T100204,2024-12-28,S045,Toys,80.88,3,0
C08905,T100205,2025-05-02,S026,Electronics,49.7,3,10
C06441,T100206,07/31/2024,S047,Toys,132.36,4,5
C00362,T100207,2025-04-03,S012,Home,161.7,1,5
C08294,T100208,2023-10-11,S013,Electronics,192.62,77,15
C07969,T100209,05/23/2025,S006,Home,5.0,4,0
C05458,T100210,01/30/2024,S006,Toys,57.63,2,0
C06573,T100211,2025-01-08,S001,Toys,113.91,2,20
C05590,T100212,11/17/2024,S044,Home,126.08,2,5
C08223,T100213,10/29/2024,S016,Electronics,89.48,4,5
C04592,T100214,07/30/2023,S014,Beauty,157.63,1,10
C06014,T100215,2024-11-18,S019,Toys,58.98,4,10
C08332,T100216,07/18/2023,S014,Home,62.93,3,10
C08652,T100217,11/10/2024,S050,Home,98.24,1,0
C09528,T100218,2024-03-27,S034,Toys,68.71,2,20
C02305,T100219,2023-08-03,S040,Beauty,101.16,4,5
C02922,T100220,2024-11-06,S003,Clothing,116.84,4,20
C07031,T100221,2025-04-23,S033,Home,105.04,4,5
C07402,T100222,2023-11-02,S018,Toys,112.85,4,10
C04489,T100223,2025-02-12,S018,Toys,114.09,1,5
C06200,T100224,2025-05-29,S013,Clothing,144.52,50,15
C02255,T100225,2024-03-27,S039,Toys,106.78,3,0
C00723,T100226,07/01/2024,S043,Clothing,33.34,2,0
C06282,T100227,2025-01-26,S015,Toys,133.84,3,0
C00553,T100228,08/08/2024,S034,Toys,45.2,4,15
C05807,T100229,12/19/2024,S040,Electronics,128.38,1,5
C09843,T100230,2023-08-24,S011,Home,184.5,4,20
C07036,T100231,2025-05-28,S010,Beauty,27.54,4,0
C06399,T100232,07/20/2023,S033,Toys,126.08,2,10
C07996,T100233,08/30/2023,S049,Electronics,76.56,2,15
C02571,T100234,09/30/2024,S022,Toys,78.54,2,5
C04847,T100235,07/16/2024,S009,Beauty,7.58,3,0
C09400,T100236,05/11/2024,S014,Clothing,61.89,2,15
C09456,T100237,2024-02-26,S024,Toys,138.59,3,0
C07494,T100238,07/01/2024,S025,Electronics,93.56,4,10
C01942,T100239,2024-03-05,S033,Home,105.32,1,5
C05123,T100240,2024-06-24,S046,Toys,126.9,1,10
C04346,T100241,03/25/2024,S038,Electronics,43.74,1,20
C07892,T100242,2025-05-19,S022,Clothing,66.6,1,15
C05780,T100243,10/04/2024,S002,Toys,123.85,4,20
C07036,T100244,2023-12-06,S002,Electronics,87.52,3,15
C01412,T100245,2024-08-25,S035,Toys,121.49,4,15
C05738,T100246,10/16/2024,S045,Toys,105.79,1,15
C04426,T100247,05/03/2024,S019,Beauty,117.31,2,0
C07483,T100248,2025-03-28,S018,Clothing,150.66,4,10
C02192,T100249,2024-06-16,S006,Home,162.84,1,10
C05414,T100250,03/19/2025,S043,Clothing,128.0,4,0
C03016,T100251,2023-07-31,S038,Home,54.4,1,0
C06487,T100252,2024-09-30,S036,Electronics,,2,20
C00003,T100253,2023-11-25,S010,Clothing,78.9,4,10
C09947,T100254,06/08/2024,S050,Clothing,49.14,2,20
C07950,T100255,2024-09-09,S048,Home,159.65,2,10
C01113,T100256,2023-10-06,S040,Beauty,101.75,2,0
C00146,T100257,08/18/2024,S016,Electronics,61.34,1,15
C00848,T100258,2024-11-05,S008,Electronics,128.42,3,10
C02818,T100259,02/04/2025,S029,Beauty,57.69,4,15
C08072,T100260,01/16/2025,S035,Clothing,62.87,2,0
C05029,T100261,07/07/2023,S018,Toys,129.2,2,0
C01428,T100262,05/31/2025,S008,Home,23.47,3,10
C09100,T100263,11/22/2024,S044,Toys,118.61,2,15
C04866,T100264,2023-11-11,S032,Toys,108.26,4,20
C03630,T100265,07/04/2023,S004,Toys,58.36,1,0
C00051,T100266,2023-12-08,S045,Clothing,110.55,4,5
C06296,T100267,09/01/2023,S038,Home,46.3,4,20
C08291,T100268,2024-01-19,S005,Clothing,224.01,1,10
C01872,T100269,2025-02-26,S023,Clothing,61.64,4,15
C07023,T100270,09/07/2023,S003,Toys,136.38,2,10
C00230,T100271,08/19/2023,S018,Electronics,132.81,1,5
C07674,T100272,2024-04-16,S045,Electronics,127.75,1,0
C04103,T100273,2023-06-10,S042,Beauty,63.44,1,5
C03807,T100274,03/18/2024,S021,Beauty,165.69,4,10
C07660,T100275,2024-03-25,S035,Home,274.65,2,10
C04107,T100276,2023-12-21,S042,Toys,110.47,3,0
C01864,T100277,2024-01-12,S049,Clothing,90.79,4,0
C08162,T100278,2025-01-08,S037,Home,91.81,3,15
C04998,T100279,2024-07-06,S023,Home,52.49,1,15
C01204,T100280,2024-01-18,S031,Electronics,59.91,4,15
C02879,T100281,10/16/2024,S012,Clothing,64.68,1,0
C00040,T100282,2024-06-11,S023,Beauty,61.28,2,20
C01557,T100283,2023-06-05,S050,Home,97.11,1,10
C08830,T100284,2025-05-30,S032,Beauty,102.7,2,15
C09665,T100285,2023-12-16,S020,Beauty,8.06,2,10
C05229,T100286,12/26/2024,S006,Clothing,168.47,2,0
C03761,T100287,2025-02-05,S019,Clothing,87.31,1,10
C00807,T100288,2025-03-31,S017,Electronics,38.56,2,5
C03993,T100289,2023-12-05,S023,Electronics,59.17,3,0
C08125,T100290,03/29/2024,S034,Beauty,13.79,1,15
C06169,T100291,2023-08-22,S019,Toys,160.0,2,20
C04483,T100292,06/29/2023,S009,Home,159.52,4,10
C06355,T100293,03/29/2024,S042,Electronics,126.76,3,15
C01614,T100294,2023-08-22,S018,Beauty,76.29,4,10
C06989,T100295,2024-05-30,S049,Toys,55.23,3,0
C04680,T100296,2024-12-26,S030,Toys,5.0,3,20
C09665,T100297,2024-08-23,S021,Beauty,114.67,3,5
C00372,T100298,2025-05-04,S027,Toys,179.53,1,5
C07787,T100299,04/24/2024,S023,Toys,111.7,2,5
C00987,T100300,02/04/2025,S006,Clothing,77.47,3,15
C06065,T100301,12/21/2023,S016,Electronics,78.12,4,20
C01453,T100302,03/11/2024,S049,Beauty,28.08,2,10
C02795,T100303,2023-12-06,S007,Electronics,204.89,1,5
C00265,T100304,06/09/2024,S022,Toys,181.58,1,15
C03368,T100305,10/13/2024,S015,Electronics,98.54,1,20
C04631,T100306,2023-06-15,S032,Electronics,108.93,1,5
C08746,T100307,2025-06-04,S016,Clothing,54.51,1,15
C03513,T100308,2025-03-18,S019,Clothing,91.91,2,20
C04173,T100309,2025-03-15,S007,Beauty,78.36,1,0
C06612,T100310,05/04/2024,S007,Home,106.18,3,20
C07079,T100311,07/24/2023,S040,Clothing,132.65,4,5
C09785,T100312,2023-09-28,S032,Electronics,110.42,4,0
C03759,T100313,06/06/2023,S040,Toys,125.7,2,10
C06763,T100314,12/13/2023,S012,Beauty,67.24,2,5
C00710,T100315,2024-12-20,S018,Clothing,201.1,3,0
C04005,T100316,09/08/2024,S021,Beauty,53.31,4,20
C01247,T100317,2023-11-15,S019,Toys,27.26,2,5
C08989,T100318,11/28/2024,S048,Home,134.51,4,15
C07494,T100319,2024-06-27,S046,Electronics,75.32,4,10
C06557,T100320,2023-11-03,S016,Home,163.27,4,15
C06996,T100321,2025-02-04,S014,Electronics,99.5,4,10
C05614,T100322,2023-09-01,S003,Beauty,91.31,3,20
C07319,T100323,2024-11-26,S011,Clothing,100.09,2,10
C09658,T100324,11/09/2023,S030,Toys,78.43,2,15
C01122,T100325,2025-03-15,S013,Toys,79.46,1,15
C05074,T100326,01/21/2024,S034,Clothing,93.91,1,0
C09519,T100327,10/21/2024,S015,Beauty,43.97,3,15
C06116,T100328,2024-06-25,S019,Beauty,191.63,4,10
C00555,T100329,2024-11-22,S037,Clothing,71.49,4,10
C03788,T100330,04/03/2025,S039,Toys,106.53,4,20
C02014,T100331,2023-06-06,S039,Electronics,184.17,1,0
C08116,T100332,2023-11-27,S029,Beauty,86.67,1,20
C04452,T100333,08/26/2023,S047,Home,31.52,4,5
C09746,T100334,2024-05-24,S020,Toys,85.57,4,20
C00843,T100335,2025-05-26,S027,Clothing,66.02,4,15
C05054,T100336,2024-07-27,S020,Home,83.06,1,10
C01137,T100337,2024-02-08,S017,Beauty,74.51,4,5
C05800,T100338,03/16/2024,S001,Home,91.65,3,20
C04379,T100339,2025-01-22,S028,Clothing,57.57,1,0
C09025,T100340,2023-09-03,S013,Home,193.45,3,20
C08842,T100341,07/21/2023,S029,Home,30.85,4,20
C07418,T100342,05/19/2025,S045,Beauty,88.94,4,20
C01596,T100343,03/22/2024,S034,Beauty,,2,10
C06562,T100344,2024-10-07,S007,Home,149.43,3,10
C07110,T100345,06/05/2024,S037,Toys,169.85,3,5
C01493,T100346,02/29/2024,S039,Electronics,111.04,2,15
C02049,T100347,03/12/2025,S024,Toys,47.66,3,0
C04595,T100348,2024-08-10,S023,Clothing,57.49,3,20
C07597,T100349,06/14/2023,S028,Electronics,39.42,2,15
C08677,T100350,2024-01-09,S012,Home,61.19,1,10
C04193,T100351,2024-06-12,S007,Home,134.21,3,15
C08356,T100352,2024-04-30,S030,Beauty,71.65,2,10
C01701,T100353,2024-11-22,S040,Electronics,164.49,3,5
C04070,T100354,2023-08-28,S015,Electronics,,4,0
C02050,T100355,2023-10-05,S036,Clothing,5.0,2,10
C00578,T100356,2025-02-06,S009,Clothing,42.08,2,15
C01318,T100357,02/19/2025,S005,Toys,75.38,1,5
C05022,T100358,12/26/2024,S013,Beauty,118.37,4,15
C05100,T100359,08/15/2024,S014,Clothing,138.51,2,20
C02465,T100360,09/08/2024,S037,Beauty,154.71,4,20
C09220,T100361,07/01/2024,S010,Toys,89.0,3,5
C03972,T100362,05/30/2025,S048,Toys,63.37,4,0
C02813,T100363,2024-12-28,S010,Clothing,47.97,1,20
C00577,T100364,2024-08-29,S047,Beauty,168.74,2,5
C03854,T100365,2023-07-02,S006,Beauty,62.22,1,20
C03361,T100366,01/16/2025,S030,Electronics,122.49,2,20
C00847,T100367,2024-12-25,S042,Toys,110.7,1,20
C07943,T100368,04/11/2025,S041,Toys,181.18,2,10
C09842,T100369,2025-01-10,S021,Electronics,155.74,2,5
C06335,T100370,2024-01-18,S009,Clothing,143.37,3,10
C02930,T100371,04/30/2025,S040,Clothing,96.6,4,0
C09367,T100372,12/25/2024,S036,Home,,2,10
C00498,T100373,2025-02-27,S041,Electronics,87.89,1,0
C04169,T100374,05/27/2025,S033,Beauty,194.77,3,0
C07477,T100375,2024-06-15,S010,Electronics,182.24,4,15
C00126,T100376,01/31/2024,S013,Clothing,78.29,2,0
C06345,T100377,2023-10-18,S016,Clothing,50.74,2,15
C02041,T100378,03/21/2025,S049,Home,179.25,2,20
C03005,T100379,06/14/2024,S035,Home,136.55,1,5
C09840,T100380,02/20/2025,S040,Beauty,151.84,3,10
C08919,T100381,2023-06-19,S041,Toys,107.12,4,5
C08823,T100382,2023-12-21,S026,Home,67.28,2,0
C05989,T100383,04/28/2025,S021,Home,228.45,3,0
C03017,T100384,01/15/2025,S026,Home,57.72,2,20
C02366,T100385,03/26/2025,S044,Clothing,174.8,4,20
C09604,T100386,2024-04-07,S005,Toys,151.82,4,10
C06609,T100387,11/30/2023,S050,Clothing,58.06,4,10
C04104,T100388,06/21/2024,S040,Clothing,73.27,4,20
C05857,T100389,08/31/2023,S019,Home,32.18,1,20
C03156,T100390,01/24/2025,S025,Beauty,139.67,3,0
C09311,T100391,11/01/2024,S025,Home,28.89,4,0
C09082,T100392,10/30/2023,S049,Electronics,81.03,4,5
C07059,T100393,07/22/2024,S007,Electronics,94.53,4,20
C01270,T100394,03/28/2024,S005,Electronics,72.11,4,10
C09439,T100395,2024-06-30,S032,Toys,26.0,2,20
C07264,T100396,08/26/2024,S049,Clothing,,2,5
C01625,T100397,06/30/2023,S048,Home,70.46,2,5
C03990,T100398,2025-04-23,S013,Home,107.24,1,15
C06188,T100399,2025-03-12,S009,Toys,167.3,2,5
C02397,T100400,02/04/2025,S041,Beauty,149.12,4,5
C05849,T100401,2024-06-13,S002,Home,91.71,4,20
C06549,T100402,01/22/2025,S007,Electronics,112.13,3,0
C05576,T100403,2023-10-20,S013,Beauty,128.68,3,15
C08296,T100404,01/17/2024,S049,Clothing,105.13,1,20
C07583,T100405,10/22/2024,S032,Clothing,57.68,2,20
C08024,T100406,2024-07-24,S029,Electronics,85.91,1,15
C05298,T100407,02/19/2024,S026,Toys,105.94,1,20
C09835,T100408,03/31/2024,S009,Home,137.26,3,20
C06707,T100409,05/14/2024,S014,Electronics,126.74,1,15
C08149,T100410,2023-10-28,S042,Electronics,171.11,2,5
C04031,T100411,2024-12-12,S032,Home,111.28,2,10
C03949,T100412,01/29/2025,S034,Home,145.36,2,20
C05298,T100413,2023-11-05,S032,Home,140.46,2,5
C00329,T100414,06/28/2023,S005,Toys,52.57,4,15
C09966,T100415,2025-05-08,S041,Toys,126.68,2,20
C08972,T100416,11/02/2024,S040,Clothing,143.81,3,15
C08108,T100417,2025-05-08,S038,Electronics,67.88,4,0
C05059,T100418,2024-06-17,S038,Toys,42.93,4,20
C03585,T100419,09/05/2024,S002,Toys,108.6,2,10
C05183,T100420,2025-01-04,S004,Electronics,110.31,2,20
C03427,T100421,2023-08-11,S028,Beauty,100.79,2,15
C03737,T100422,2024-11-01,S017,Clothing,171.37,3,10
C04332,T100423,2024-03-22,S034,Electronics,101.79,1,10
C05687,T100424,06/21/2023,S011,Toys,149.01,2,15
C01799,T100425,2025-03-31,S029,Toys,131.32,2,10
C07391,T100426,03/10/2025,S042,Clothing,79.08,16,20
C01793,T100427,11/12/2024,S010,Toys,115.47,4,10
C06574,T100428,01/22/2024,S003,Home,62.5,2,15
C06359,T100429,08/17/2023,S011,Toys,144.66,2,15
C08997,T100430,02/18/2024,S001,Clothing,93.6,2,10
C04780,T100431,2024-04-03,S019,Clothing,94.52,4,15
C04716,T100432,12/08/2024,S029,Clothing,150.59,1,20
C07683,T100433,2023-11-18,S021,Toys,171.39,4,5
C03518,T100434,2025-01-30,S045,Beauty,106.04,2,10
C08741,T100435,02/04/2024,S010,Home,80.52,1,15
C06785,T100436,03/05/2024,S016,Toys,27.71,1,0
C03950,T100437,06/07/2023,S039,Toys,5.0,2,15
C04976,T100438,2024-02-04,S009,Beauty,85.84,4,15
C03571,T100439,04/14/2024,S010,Clothing,98.49,3,0
C03741,T100440,2024-01-31,S019,Toys,115.17,3,20
C00279,T100441,08/29/2024,S013,Toys,119.95,1,10
C05798,T100442,08/19/2024,S050,Clothing,106.11,1,5
C01991,T100443,2024-02-12,S046,Electronics,,3,5
C04146,T100444,2024-01-02,S018,Home,106.22,4,15
C04318,T100445,12/11/2024,S002,Beauty,54.89,1,15
C01496,T100446,11/29/2024,S021,Clothing,129.2,1,5
C08140,T100447,2024-06-26,S006,Clothing,113.4,3,0
C09226,T100448,2024-01-05,S004,Toys,75.43,3,10
C04850,T100449,02/29/2024,S013,Clothing,78.69,2,20
C07850,T100450,2024-09-07,S035,Clothing,87.61,2,5
C03251,T100451,01/24/2024,S002,Toys,163.21,4,0
C01059,T100452,03/30/2024,S034,Clothing,90.34,1,15
C03035,T100453,04/06/2025,S049,Home,70.91,4,10
C03967,T100454,05/31/2024,S050,Home,144.59,3,20
C06755,T100455,2024-08-13,S026,Clothing,134.3,2,15
C08217,T100456,06/19/2024,S022,Electronics,103.41,3,15
C04833,T100457,05/14/2025,S039,Home,138.26,2,15
C06399,T100458,11/30/2024,S013,Home,154.43,4,10
C08611,T100459,2024-10-30,S012,Home,11.12,1,10
