SaleID,Date,CustomerID,ProductTier,Region,Revenue,ContractLength
S00049,01/12/2024,C4942,Pro,NE,4511.46,24
S00050,04/27/2024,C3279,Basic,South,380.77,6
S00051,05/17/2024,C1682,Enterprise,SE,15942.55,6
S00052,02/01/2024,C3918,Pro,East,4003.96,
S00053,04/06/2024,C1753,Enterprise,NE,13811.69,24
S00054,01/21/2024,C3893,Enterprise,West,11333.63,12
S00055,05/21/2024,C2445,Pro,NE,3142.58,12
S00056,03/16/2024,C4177,Enterprise,East,18668.87,
S00057,06/09/2024,C2550,Basic,West,373.65,12
S00058,06/07/2024,C5467,Basic,SW,603.63,12
S00059,04/02/2024,C3050,Basic,NE,478.75,6
S00060,05/27/2024,C1149,Basic,SE,433.28,12
S00061,02/19/2024,C1707,Basic,NW,346.67,36
S00062,06/29/2024,C1519,Basic,SW,434.7,12
S00063,01/18/2024,C2329,Enterprise,SW,11965.54,24
S00064,01/12/2024,C2194,Basic,South,380.5,36
S00065,06/18/2024,C3802,Basic,NW,547.36,12
S00066,02/28/2024,C2313,Pro,Central,3117.65,12
S00067,03/15/2024,C5276,Basic,NW,598.08,36
S00068,01/21/2024,C5381,Enterprise,South,18574.05,12
S00069,02/29/2024,C2590,Basic,MidWest,435.98,12
S00070,01/26/2024,C4921,Enterprise,East,13429.68,12
S00071,04/07/2024,C3878,Pro,South,2403.65,12
S00072,03/12/2024,C1244,Basic,MidWest,340.35,12
S00073,04/26/2024,C3786,Basic,North,538.37,24
S00074,06/11/2024,C4188,Enterprise,SW,15829.04,36
S00075,04/03/2024,C4542,Pro,Central,2513.39,24
S00076,02/11/2024,C1848,Pro,South,3644.28,12
S00077,04/04/2024,C5197,Pro,SE,2728.27,12
S00078,03/31/2024,C4296,Basic,Central,623.27,36
S00079,02/23/2024,C2739,Basic,North,484.54,12
S00080,06/20/2024,C2372,Basic,West,370.53,12
S00081,03/09/2024,C2557,Enterprise,SE,22612.67,12
S00082,06/28/2024,C4960,Pro,West,3292.34,6
S00083,06/23/2024,C5803,Basic,SE,405.33,24
S00084,06/14/2024,C1548,Basic,Central,459.77,
S00085,01/19/2024,C2857,Basic,SE,417.05,12
S00086,06/04/2024,C5049,Basic,Central,599.12,6
S00087,06/11/2024,C5566,Pro,East,1334.25,12
S00088,02/13/2024,C4750,Pro,West,3222.64,6
S00089,05/16/2024,C4172,Enterprise,NE,6410.14,12
S00090,03/03/2024,C3639,Pro,North,1491.73,
S00091,02/11/2024,C4021,Basic,SE,541.05,12
S00092,04/28/2024,C2631,Pro,Central,2031.6,6
S00093,04/07/2024,C1343,Pro,North,3557.81,12
S00094,03/10/2024,C1298,Pro,MidWest,3771.31,36
S00095,06/12/2024,C4710,Pro,NW,2642.34,6
S00096,06/25/2024,C2540,Pro,SE,3390.87,12
S00097,05/22/2024,C1030,Pro,South,4178.87,12
S00098,02/26/2024,C5677,Pro,SW,2233.3,12
S00099,06/24/2024,C3911,Basic,NE,586.16,12
S00100,03/24/2024,C1140,Basic,East,422.2,36
S00101,01/15/2024,C4051,Basic,Central,500.34,36
S00102,02/28/2024,C3774,Pro,Central,2501.94,12
S00103,01/09/2024,C4404,Basic,NW,441.44,6
S00104,03/21/2024,C1060,Pro,NW,2712.31,
S00105,04/12/2024,C3581,Enterprise,NE,12004.22,12
S00106,03/09/2024,C4796,Basic,SE,486.87,12
S00107,01/17/2024,C1698,Pro,West,3934.9,24
S00108,02/24/2024,C2098,Pro,NW,1898.09,12
S00109,05/25/2024,C1786,Basic,MidWest,542.86,6
S00110,03/21/2024,C5871,Basic,NW,392.16,6
S00111,02/24/2024,C5264,Basic,South,398.27,12
S00112,06/16/2024,C5599,Basic,MidWest,314.48,6
S00113,05/07/2024,C1954,Enterprise,West,20382.43,24
S00114,04/11/2024,C5856,Enterprise,South,13793.42,6
S00115,06/13/2024,C2112,Pro,South,2280.78,
S00116,04/27/2024,C4878,Enterprise,NE,15648.85,6
S00117,02/06/2024,C5049,Enterprise,NW,13255.11,36
S00118,03/08/2024,C5534,Basic,North,610.13,12
S00119,02/05/2024,C5518,Enterprise,MidWest,9910.84,12
S00120,03/04/2024,C3791,Pro,East,2886.9,12
S00121,05/23/2024,C1981,Enterprise,North,19252.19,6
S00122,05/17/2024,C1266,Enterprise,SW,9672.85,24
S00123,03/08/2024,C3597,Basic,East,453.87,24
S00124,05/29/2024,C3015,Basic,SE,372.24,12
S00125,04/19/2024,C3556,Basic,West,413.16,24
S00126,05/29/2024,C5399,Pro,NE,1756.6,12
S00127,04/12/2024,C4486,Enterprise,North,9696.81,24
S00128,04/02/2024,C3403,Enterprise,NW,8451.86,12
S00129,02/26/2024,C1318,Basic,West,433.21,36
S00130,02/05/2024,C1873,Pro,South,3777.67,12
S00131,05/10/2024,C1449,Pro,MidWest,3223.97,6
S00132,05/06/2024,C3459,Basic,SW,629.71,24
S00133,01/24/2024,C2121,Basic,NE,461.27,24
S00134,01/13/2024,C3115,Basic,South,410.3,6
S00135,01/29/2024,C4109,Enterprise,West,14363.76,6
S00136,02/09/2024,C2253,Basic,MidWest,439.25,24
S00137,06/09/2024,C3299,Pro,SW,3328.54,12
S00138,02/10/2024,C3784,Pro,South,1796.39,12
S00139,06/23/2024,C4375,Basic,SW,492.77,24
S00140,04/18/2024,C1609,Enterprise,West,67556.33,12
S00141,06/01/2024,C5349,Enterprise,NW,10394.19,12
S00142,01/17/2024,C3980,Basic,Central,455.89,24
S00143,04/08/2024,C1615,Pro,SE,1618.25,12
S00144,04/07/2024,C5081,Basic,SE,610.94,12
S00145,06/01/2024,C3526,Basic,South,490.18,36
S00146,04/29/2024,C3456,Basic,South,447.99,
S00147,05/15/2024,C4333,Pro,SE,3037.94,6
S00148,03/05/2024,C1186,Pro,North,2943.18,12
S00149,05/21/2024,C1214,Basic,NW,429.92,24
S00150,01/03/2024,C3335,Basic,SE,359.54,6
S00151,06/23/2024,C3684,Enterprise,SE,15769.55,12
S00152,01/30/2024,C2513,Basic,MidWest,501.48,12
S00153,06/23/2024,C1762,Basic,South,461.23,12
S00154,05/17/2024,C2125,Pro,SW,2755.56,12
S00155,03/09/2024,C5300,Enterprise,MidWest,20403.12,24
S00156,06/13/2024,C5939,Basic,South,529.07,12
S00157,03/28/2024,C5911,Pro,SE,1939.22,12
S00158,01/29/2024,C1820,Pro,NE,4031.5,36
S00159,03/16/2024,C3969,Basic,Central,568.07,24
S00160,04/21/2024,C1928,Pro,South,3487.39,24
S00161,02/10/2024,C1779,Basic,Central,420.68,6
S00162,04/26/2024,C3164,Pro,East,3683.05,12
S00163,01/01/2024,C3734,Pro,NW,3144.43,12
S00164,03/08/2024,C3607,Pro,SE,2070.69,36
S00165,05/08/2024,C2013,Basic,SW,528.78,6
S00166,02/15/2024,C2496,Enterprise,North,19759.35,24
S00167,05/09/2024,C5721,Basic,SW,556.82,6
S00168,01/28/2024,C2739,Basic,MidWest,320.01,12
S00169,06/09/2024,C5769,Basic,Central,539.95,24
S00170,03/17/2024,C1645,Pro,MidWest,2708.96,6
S00171,06/12/2024,C2896,Pro,NE,1492.0,6
S00172,05/09/2024,C1402,Basic,East,564.93,12
S00173,06/04/2024,C3265,Pro,SW,3546.42,6
S00174,02/20/2024,C3551,Basic,SW,496.87,12
S00175,02/09/2024,C5507,Pro,NE,2184.19,12
S00176,04/05/2024,C5434,Basic,SE,639.37,6
S00177,02/11/2024,C1652,Pro,South,3438.11,6
S00178,05/18/2024,C5496,Basic,Central,560.41,6
S00179,05/15/2024,C5729,Enterprise,Central,19607.54,12
S00180,01/01/2024,C5473,Basic,NW,621.24,12
S00181,06/02/2024,C3434,Basic,NW,532.29,24
S00182,03/23/2024,C5524,Basic,NW,1158.48,6
S00183,05/05/2024,C3437,Enterprise,Central,11569.91,12
S00184,01/05/2024,C1822,Enterprise,South,12402.21,6
S00185,01/29/2024,C4306,Basic,SE,621.58,36
S00186,04/02/2024,C1333,Pro,East,3171.96,6
S00187,03/19/2024,C3555,Enterprise,East,11578.45,6
S00188,03/02/2024,C4442,Pro,NE,2840.68,12
S00189,01/15/2024,C1761,Pro,West,4058.21,6
S00190,03/02/2024,C3730,Basic,North,561.44,36
S00191,05/25/2024,C3204,Basic,South,604.27,6
S00192,01/21/2024,C1426,Enterprise,West,9421.83,6
S00193,01/22/2024,C2121,Enterprise,MidWest,13953.04,6
S00194,05/04/2024,C1563,Pro,NW,2487.19,24
S00195,01/18/2024,C1772,Basic,MidWest,650.19,12
S00196,05/16/2024,C5819,Basic,East,486.22,24
S00197,02/02/2024,C1032,Pro,North,2540.89,24
S00198,02/02/2024,C1875,Enterprise,West,4968.92,
S00199,06/17/2024,C4907,Enterprise,SW,22053.45,24
S00200,05/01/2024,C1348,Pro,SE,4167.43,12
S00201,05/20/2024,C4843,Pro,North,1357.95,12
S00202,02/12/2024,C3958,Basic,Central,521.25,12
S00203,03/08/2024,C4325,Basic,North,594.66,12
S00204,05/15/2024,C5439,Enterprise,NE,17385.32,6
S00205,06/04/2024,C1875,Pro,Central,2651.17,12
S00206,04/18/2024,C3165,Basic,West,405.38,6
S00207,02/24/2024,C2300,Basic,MidWest,616.81,12
S00208,05/18/2024,C5840,Pro,SE,3616.55,6
S00209,06/25/2024,C5597,Basic,NE,563.79,36
S00210,02/21/2024,C3028,Basic,North,617.14,12
S00211,03/20/2024,C1671,Pro,East,4748.95,24
S00212,04/12/2024,C3736,Pro,Central,2739.34,12
S00213,06/20/2024,C2379,Pro,West,2740.91,12
S00214,06/15/2024,C2516,Basic,West,459.55,6
S00215,04/05/2024,C5661,Pro,SW,2261.85,6
S00216,04/22/2024,C1850,Basic,MidWest,619.44,12
S00217,05/12/2024,C1137,Basic,NW,634.43,6
S00218,04/25/2024,C4852,Pro,NE,3852.35,12
S00219,01/31/2024,C2789,Pro,East,4333.53,12
S00220,03/04/2024,C2037,Enterprise,MidWest,15506.89,24
S00221,02/27/2024,C2387,Pro,West,3300.46,12
S00222,01/17/2024,C5175,Pro,NW,3521.95,12
S00223,03/27/2024,C2954,Basic,North,458.01,6
S00224,01/06/2024,C4341,Basic,West,393.0,6
S00225,05/30/2024,C1043,Basic,NE,514.51,6
S00226,05/21/2024,C5284,Basic,SE,453.34,24
S00227,02/28/2024,C3238,Enterprise,SE,25845.26,12
S00228,05/30/2024,C5724,Basic,West,351.05,12
S00229,02/26/2024,C2536,Enterprise,NE,14704.99,12
S00230,01/02/2024,C5035,Pro,Central,3231.48,
S00231,01/19/2024,C5485,Pro,NW,2336.05,12
S00232,06/10/2024,C2948,Pro,South,2632.69,6
S00233,01/16/2024,C1486,Pro,West,3048.36,36
S00234,02/28/2024,C4520,Pro,MidWest,2072.12,12
S00235,01/18/2024,C2728,Basic,North,540.81,24
S00236,01/09/2024,C4182,Pro,SW,4262.11,24
S00237,03/25/2024,C2576,Basic,MidWest,462.12,12
S00238,01/19/2024,C5323,Basic,SE,576.81,12
S00239,05/11/2024,C3397,Pro,SW,13098.9,12
S00240,03/01/2024,C3820,Basic,Central,600.67,24
S00241,03/12/2024,C2115,Enterprise,Central,11364.78,
S00242,06/20/2024,C4313,Enterprise,NW,7311.76,12
S00243,05/04/2024,C5839,Enterprise,NW,13444.65,
S00244,02/24/2024,C4371,Basic,East,505.9,12
S00245,05/18/2024,C5737,Basic,Central,293.03,6
S00246,02/03/2024,C3356,Enterprise,SE,15140.03,
S00247,05/26/2024,C3206,Pro,NW,2338.8,12
S00248,05/27/2024,C3040,Enterprise,West,14405.02,36
S00249,05/01/2024,C2021,Enterprise,SE,13441.55,6
S00250,03/03/2024,C4442,Enterprise,West,13966.19,12
S00251,05/01/2024,C3088,Basic,MidWest,575.17,6
S00252,04/14/2024,C5958,Basic,East,400.07,12
S00253,02/18/2024,C5076,Enterprise,North,5852.07,24
S00254,01/25/2024,C1011,Basic,North,582.97,12
S00255,01/25/2024,C1938,Basic,NE,564.69,12
S00256,06/17/2024,C4322,Pro,North,3430.47,12
S00257,04/20/2024,C5839,Enterprise,NW,10572.82,12
S00258,03/31/2024,C2566,Pro,SE,3488.71,36
S00259,04/18/2024,C3072,Pro,North,1975.84,12
S00260,04/15/2024,C2050,Basic,SW,469.87,12
S00261,04/29/2024,C5723,Pro,East,4213.77,24
S00262,01/14/2024,C2510,Enterprise,North,17988.12,6
S00263,06/21/2024,C5753,Basic,North,492.71,12
S00264,06/16/2024,C1982,Pro,NW,2884.79,12
S00265,06/14/2024,C3038,Enterprise,Central,9491.7,12
S00266,01/26/2024,C2085,Pro,South,4296.15,12
S00267,01/16/2024,C1329,Pro,West,3808.65,12
S00268,04/13/2024,C2891,Pro,NW,3638.44,36
S00269,03/27/2024,C3047,Basic,North,490.72,12
S00270,01/28/2024,C1381,Basic,NW,463.57,12
S00271,03/04/2024,C1591,Enterprise,MidWest,11202.98,6
S00272,02/19/2024,C4233,Enterprise,NW,22155.91,
S00273,02/18/2024,C2089,Enterprise,West,5934.94,12
S00274,05/17/2024,C2786,Enterprise,NW,17833.03,12
S00275,04/24/2024,C3265,Pro,NE,1739.2,6
S00276,02/05/2024,C1922,Pro,MidWest,2837.81,24
S00277,04/18/2024,C5706,Pro,South,2980.06,24
S00278,02/16/2024,C1023,Pro,Central,1976.12,12
S00279,03/12/2024,C2721,Pro,SE,2316.31,12
S00280,04/28/2024,C1907,Pro,Central,3583.06,12
S00281,03/04/2024,C1112,Enterprise,North,22392.96,12
S00282,01/20/2024,C4386,Basic,West,531.25,12
S00283,04/23/2024,C1876,Basic,NE,431.26,6
S00284,05/20/2024,C3796,Basic,NE,403.22,12
S00285,01/26/2024,C2690,Pro,NW,2407.57,12
S00286,01/13/2024,C4662,Basic,SE,497.79,6
S00287,06/15/2024,C2182,Pro,South,3206.33,12
S00288,05/18/2024,C2204,Pro,SE,3982.29,24
S00289,01/04/2024,C2009,Basic,East,492.68,12
S00290,01/24/2024,C4020,Pro,NE,2469.88,6
S00291,03/01/2024,C3663,Basic,NE,387.26,12
S00292,02/12/2024,C4367,Basic,North,479.1,6
S00293,04/14/2024,C4102,Enterprise,SW,6757.17,6
S00294,05/04/2024,C5250,Basic,Central,439.56,12
S00295,05/03/2024,C3253,Basic,East,374.01,12
S00296,02/24/2024,C4632,Pro,NW,2792.49,12
S00297,04/12/2024,C2651,Pro,MidWest,3364.78,12
S00298,01/16/2024,C2195,Basic,North,538.03,6
S00299,02/12/2024,C2693,Pro,MidWest,3547.18,12
S00300,04/07/2024,C4188,Basic,MidWest,407.53,
S00301,01/01/2024,C3893,Basic,South,641.77,12
S00302,04/09/2024,C2540,Pro,NE,3532.87,12
S00303,03/08/2024,C2988,Pro,SE,3503.56,12
S00304,04/26/2024,C5013,Pro,South,3900.83,
S00305,03/14/2024,C5005,Pro,SW,3141.23,12
S00306,04/18/2024,C3243,Enterprise,SE,14421.55,6
S00307,06/27/2024,C4583,Pro,MidWest,4078.73,24
S00308,05/22/2024,C1400,Basic,MidWest,416.43,36
S00309,06/18/2024,C3065,Pro,NE,2830.74,12
S00310,05/04/2024,C1025,Basic,NW,615.71,12
S00311,02/09/2024,C4549,Pro,SE,2833.03,12
S00312,02/18/2024,C4797,Basic,West,441.25,12
S00313,03/16/2024,C2299,Basic,Central,405.56,12
S00314,02/25/2024,C1503,Enterprise,NW,16190.76,
S00315,01/15/2024,C1488,Enterprise,SE,12855.94,6
S00316,05/28/2024,C4758,Pro,Central,3391.2,12
S00317,05/18/2024,C5294,Pro,North,4313.43,12
S00318,01/16/2024,C3368,Basic,NE,607.28,
S00319,03/21/2024,C2669,Basic,Central,267.61,6
S00320,01/15/2024,C4386,Basic,SE,571.72,12
S00321,01/13/2024,C1904,Pro,SW,3629.96,
S00322,05/29/2024,C3352,Pro,SW,2761.48,6
S00323,05/02/2024,C2152,Pro,NE,3995.33,24
S00324,05/08/2024,C3321,Basic,South,529.49,12
S00325,05/15/2024,C3288,Enterprise,South,5282.11,36
S00326,02/10/2024,C2450,Pro,SW,3113.37,36
S00327,01/15/2024,C4491,Pro,South,2782.79,12
S00328,05/10/2024,C1112,Pro,SE,2497.04,12
S00329,01/21/2024,C4876,Pro,SW,3290.26,6
S00330,02/17/2024,C5338,Basic,Central,565.07,6
S00331,01/18/2024,C1534,Basic,NE,566.92,24
S00332,06/01/2024,C5804,Pro,North,3559.65,12
S00333,01/18/2024,C4722,Basic,Central,384.44,24
S00334,06/21/2024,C3849,Basic,Central,393.85,6
S00335,03/01/2024,C3483,Basic,West,526.95,
S00336,04/13/2024,C2837,Basic,MidWest,607.81,6
S00337,01/31/2024,C4681,Enterprise,NE,16767.68,36
S00338,05/25/2024,C2645,Pro,SW,1315.31,6
S00339,03/04/2024,C3257,Pro,NW,3437.68,12
S00340,05/28/2024,C4906,Basic,SE,344.25,36
S00341,06/01/2024,C4199,Pro,West,3548.46,12
S00342,01/11/2024,C3208,Pro,SW,2553.85,12
S00343,06/07/2024,C2314,Basic,North,530.25,36
S00344,01/21/2024,C4935,Pro,MidWest,4682.92,12
S00345,04/17/2024,C2806,Basic,Central,464.69,6
S00346,06/17/2024,C4589,Pro,NW,2396.27,12
S00347,05/29/2024,C2093,Pro,South,2652.67,12
S00348,05/24/2024,C1140,Basic,NW,349.74,24
S00349,05/13/2024,C2920,Basic,SE,399.59,6
S00350,03/21/2024,C4980,Pro,MidWest,3852.29,12
S00351,03/07/2024,C4150,Pro,MidWest,1421.49,12
S00352,02/22/2024,C2793,Enterprise,South,11862.35,24
S00353,06/20/2024,C5519,Pro,Central,3191.7,12
S00354,03/21/2024,C5175,Basic,North,459.04,
S00355,03/02/2024,C2185,Basic,Central,634.97,6
S00356,03/08/2024,C1899,Pro,SE,2866.56,12
S00357,04/11/2024,C3192,Basic,North,466.11,
S00358,02/03/2024,C4037,Pro,Central,3119.38,
S00359,06/20/2024,C5276,Enterprise,MidWest,16358.6,12
S00360,06/14/2024,C3087,Pro,East,3000.03,24
S00361,03/17/2024,C1809,Basic,West,492.84,24
S00362,04/27/2024,C3226,Pro,North,1436.84,
S00363,03/21/2024,C5231,Pro,East,2095.89,12
S00364,01/19/2024,C3541,Pro,SW,3461.66,12
S00365,01/03/2024,C4307,Enterprise,SW,20039.15,24
S00366,04/27/2024,C1166,Basic,Central,627.74,
S00367,06/08/2024,C1515,Enterprise,South,7781.75,12
S00368,05/24/2024,C5646,Enterprise,Central,10812.93,12
S00369,01/26/2024,C1877,Basic,South,649.63,12
S00370,01/19/2024,C2976,Basic,Central,461.91,36
S00371,05/17/2024,C3316,Basic,NW,561.77,12
S00372,02/24/2024,C3065,Basic,SE,836.74,12
S00373,05/09/2024,C3001,Basic,West,604.98,12
S00374,03/08/2024,C5554,Pro,South,2826.93,
S00375,02/03/2024,C5705,Basic,SE,485.92,12
S00376,03/30/2024,C5341,Basic,NW,552.66,12
S00377,01/18/2024,C2498,Enterprise,SW,5396.93,24
S00378,03/03/2024,C5071,Basic,Central,544.11,12
S00379,04/04/2024,C5328,Enterprise,NE,13616.39,6
S00380,03/13/2024,C1027,Basic,SE,492.26,12
S00381,02/10/2024,C2221,Basic,Central,510.58,12
S00382,04/22/2024,C1160,Pro,SW,4252.57,12
S00383,05/19/2024,C3681,Pro,South,3205.17,6
S00384,06/29/2024,C5537,Enterprise,SE,16173.5,12
S00385,03/18/2024,C4438,Pro,North,3572.05,12
S00386,06/05/2024,C5652,Enterprise,Central,15364.13,6
S00387,06/16/2024,C3795,Basic,SE,566.17,12
S00388,05/15/2024,C1011,Basic,MidWest,488.67,12
S00389,01/03/2024,C4940,Pro,NW,3930.67,6
S00390,06/19/2024,C2584,Enterprise,East,21391.97,
S00391,05/21/2024,C2534,Enterprise,South,18362.86,6
S00392,03/17/2024,C1888,Pro,West,1165.69,12
S00393,06/18/2024,C3509,Basic,West,517.53,12
S00394,01/27/2024,C4480,Pro,NW,1460.69,
S00395,02/04/2024,C3057,Basic,North,538.15,6
S00396,03/08/2024,C3227,Enterprise,North,23016.66,
S00397,01/30/2024,C5802,Enterprise,NE,20712.39,36
S00398,01/28/2024,C2634,Pro,NE,2785.02,24
S00399,05/21/2024,C4292,Pro,East,2871.88,6
S00400,02/09/2024,C5928,Pro,East,1529.04,12
S00401,03/10/2024,C5630,Basic,NE,501.34,12
S00402,03/13/2024,C5620,Enterprise,NW,13976.4,12
S00403,06/03/2024,C3923,Pro,SW,1995.08,6
S00404,02/23/2024,C1787,Enterprise,South,10093.91,24
S00405,03/28/2024,C4112,Basic,MidWest,380.18,12
S00406,02/22/2024,C4865,Enterprise,NE,25738.96,36
S00407,06/24/2024,C2607,Basic,North,511.94,12
S00408,06/11/2024,C3006,Basic,South,575.4,12
S00409,03/08/2024,C3660,Enterprise,SW,19579.8,36
S00410,05/09/2024,C1375,Basic,East,661.2,6
S00411,05/05/2024,C3753,Basic,Central,658.05,12
S00412,03/05/2024,C3923,Enterprise,NW,19720.49,24
S00413,01/14/2024,C4861,Enterprise,North,7392.67,12
S00414,01/24/2024,C2975,Pro,West,3762.31,12
S00415,06/11/2024,C5362,Pro,West,2680.33,6
S00416,04/18/2024,C3731,Pro,East,1989.46,12
S00417,03/11/2024,C5039,Basic,Central,462.79,12
S00418,01/12/2024,C2864,Basic,North,515.32,24
S00419,01/01/2024,C4529,Pro,NW,947.89,6
S00420,03/26/2024,C5607,Pro,East,3320.47,12
S00421,02/03/2024,C1134,Pro,SW,3909.46,12
S00422,06/12/2024,C1624,Pro,West,3069.39,12
S00423,03/08/2024,C1845,Basic,SE,391.78,12
S00424,02/11/2024,C5629,Pro,MidWest,3487.95,12
S00425,04/23/2024,C2122,Basic,South,497.3,24
S00426,05/21/2024,C2894,Pro,NE,4393.2,12
S00427,06/29/2024,C4364,Pro,SW,1161.61,6
S00428,04/19/2024,C1359,Enterprise,NW,2121.67,12
S00429,05/23/2024,C2679,Basic,SE,490.09,6
S00430,01/03/2024,C4826,Basic,NW,453.91,12
S00431,01/29/2024,C4378,Basic,West,526.94,6
S00432,01/20/2024,C5382,Pro,SW,3333.57,
S00433,06/25/2024,C1594,Pro,East,4215.65,36
S00434,02/08/2024,C1840,Basic,West,475.9,12
S00435,05/19/2024,C5493,Basic,North,544.99,12
S00436,01/10/2024,C4614,Pro,North,1947.66,6
S00437,04/04/2024,C2111,Basic,MidWest,746.51,24
S00438,05/29/2024,C2808,Enterprise,South,20530.05,6
S00439,05/21/2024,C2757,Pro,Central,11118.11,12
S00440,02/07/2024,C2789,Basic,NE,419.29,12
S00441,04/20/2024,C4038,Basic,East,636.24,12
S00442,02/02/2024,C1793,Enterprise,SE,20066.44,24
S00443,01/11/2024,C1299,Basic,NE,563.95,6
S00444,03/19/2024,C3100,Basic,MidWest,489.78,6
S00445,04/03/2024,C1095,Enterprise,SW,9742.69,12
S00446,01/11/2024,C5812,Enterprise,Central,14717.36,36
S00447,04/01/2024,C4351,Enterprise,NW,11063.52,12
S00448,02/23/2024,C1985,Pro,South,3306.65,6
S00449,06/23/2024,C3297,Basic,NE,389.92,36
S00450,03/04/2024,C5822,Basic,NE,428.23,36
S00451,06/19/2024,C4685,Pro,South,1333.27,36
S00452,01/27/2024,C2712,Pro,NE,3425.54,6
S00453,03/31/2024,C1765,Pro,SE,3346.24,36
S00454,05/23/2024,C3791,Enterprise,Central,12468.94,12
S00455,04/14/2024,C2939,Basic,West,256.02,12
S00456,06/07/2024,C1973,Pro,SW,1649.86,12
S00457,02/09/2024,C1766,Basic,South,510.05,12
S00458,03/01/2024,C3050,Pro,South,3800.45,6
S00459,02/11/2024,C5901,Basic,NW,400.91,12
S00460,02/15/2024,C5398,Basic,MidWest,620.97,12
S00461,04/15/2024,C2975,Basic,MidWest,667.95,12
S00462,01/07/2024,C1361,Pro,NE,3363.71,6
S00463,02/15/2024,C4899,Pro,South,3834.49,24
S00464,03/26/2024,C3269,Pro,NE,2099.14,12
S00465,04/15/2024,C5432,Enterprise,North,6094.93,6
S00466,06/20/2024,C2368,Basic,NW,686.1,12
S00467,03/04/2024,C1052,Basic,NE,400.98,36
S00468,03/09/2024,C5010,Enterprise,North,20758.83,24
S00469,02/10/2024,C2772,Basic,East,541.95,36
S00470,06/28/2024,C4373,Enterprise,MidWest,23801.61,12
S00471,01/28/2024,C3709,Basic,Central,577.57,6
S00472,04/07/2024,C1819,Enterprise,MidWest,9136.43,24
S00473,01/10/2024,C1726,Basic,West,465.38,36
S00474,04/30/2024,C5126,Enterprise,NW,18505.97,12
S00475,02/26/2024,C5774,Pro,NW,2560.87,12
S00476,02/21/2024,C2878,Enterprise,South,20231.03,24
S00477,04/27/2024,C5715,Basic,NE,509.61,24
S00478,03/30/2024,C3274,Pro,East,3852.88,24
S00479,03/19/2024,C1000,Enterprise,West,20644.95,24
S00480,02/28/2024,C4498,Pro,NE,3248.36,12
S00481,02/27/2024,C3858,Pro,West,2892.39,12
S00482,01/07/2024,C3923,Pro,South,2571.66,24
S00483,06/17/2024,C4705,Pro,South,2083.5,12
S00484,02/19/2024,C5557,Pro,MidWest,4375.81,6
