CustomerID,TotalSpend,AvgSpend,TransactionCount,AvgQuantity,Age,Gender,IncomeLevel,LoyaltyMember,Segment
C00060,913.35,114.17,8,2.50,35,Male,High,No,0
C00061,472.28,94.46,5,3.20,44,Male,Medium,Yes,1
C00062,476.12,119.03,4,1.75,19,Female,Low,No,2
C00063,339.86,84.97,4,2.00,32,Male,Low,Yes,2
C00064,143.86,71.93,2,3.00,28,Male,Low,Yes,2
C00065,496.15,99.23,5,2.40,43,Female,Low,Yes,2
C00066,622.26,103.71,6,2.50,66,Male,Low,No,0
C00067,493.23,98.65,5,3.00,34,Female,High,No,2
C00068,327.55,54.59,6,2.67,23,Female,Medium,No,1
C00069,701.31,100.19,7,2.86,20,Female,Low,Yes,0
C00070,573.77,81.97,7,1.29,45,Male,Low,Yes,0
C00071,524.33,74.90,7,2.86,26,Male,Medium,Yes,1
C00072,243.71,121.85,2,2.50,64,Female,Low,Yes,2
C00073,695.52,139.10,5,2.40,31,Female,Medium,No,1
C00074,699.86,87.48,8,2.25,54,Male,Low,Yes,0
C00075,415.31,138.44,3,13.00,27,Female,Low,No,2
C00076,742.13,92.77,8,2.88,21,Male,Low,No,0
C00077,570.78,95.13,6,3.00,50,Male,Medium,No,1
C00078,655.82,93.69,7,2.86,56,Female,Low,Yes,0
C00079,705.62,100.80,7,3.14,32,Female,High,No,0
C00080,579.94,64.44,9,2.22,55,Male,Low,No,0
C00081,338.15,112.72,3,1.67,31,Male,Medium,No,1
C00082,583.57,97.26,6,1.67,35,Male,Low,No,0
C00083,755.11,94.39,8,2.63,46,Male,Low,Yes,0
C00084,387.75,77.55,5,11.80,53,Male,Low,No,2
C00085,360.29,90.07,4,2.50,49,Male,High,No,2
C00086,592.69,98.78,6,10.33,24,Male,High,Yes,0
C00087,343.70,85.93,4,2.25,62,Male,Low,Yes,2
C00088,641.99,128.40,5,2.80,46,Female,Medium,Yes,1
C00089,548.70,137.18,4,1.25,21,Female,Medium,Yes,1
C00090,398.12,99.53,4,3.00,53,Male,High,No,2
C00091,647.06,107.84,6,2.00,43,Female,Low,Yes,0
C00092,54.49,54.49,1,1.00,24,Male,High,Yes,2
C00093,175.14,175.14,1,2.00,68,Female,Low,Yes,2
C00094,354.24,118.08,3,2.00,56,Male,Medium,Yes,1
C00095,698.72,116.45,6,2.33,46,Female,High,No,0
C00096,242.82,60.71,4,3.00,59,Female,High,No,2
C00097,391.31,97.83,4,3.50,54,Female,Low,Yes,2
C00098,729.56,81.06,9,2.56,41,Male,Medium,Yes,1
C00099,978.77,97.88,10,2.60,29,Female,Medium,Yes,0
C00100,356.08,118.69,3,2.33,61,Male,Low,Yes,2
C00101,340.91,170.45,2,3.50,55,Male,High,No,2
C00102,169.00,33.80,5,2.80,34,Female,Low,Yes,2
C00103,534.48,89.08,6,2.83,31,Male,Medium,Yes,1
C00104,374.25,124.75,3,3.33,53,Female,Low,Yes,2
C00105,206.14,68.71,3,1.33,26,Female,Low,No,2
C00106,644.80,71.64,9,1.44,25,Male,Low,Yes,0
C00107,354.53,177.27,2,2.00,43,Male,High,No,2
C00108,146.16,73.08,2,3.00,42,Male,Low,Yes,2
C00109,136.64,68.32,2,3.50,22,Female,High,No,2
C00110,648.82,129.76,5,2.40,28,Male,High,Yes,0
C00111,380.04,76.01,5,2.80,34,Female,High,Yes,2
C00112,595.22,85.03,7,6.29,19,Male,Low,No,0
C00113,345.04,115.01,3,3.67,25,Male,Medium,No,1
C00114,620.77,124.15,5,1.80,58,Male,High,No,0
C00115,545.26,109.05,5,1.80,27,Male,Low,Yes,2
C00116,181.51,90.76,2,1.00,20,Male,High,Yes,2
C00117,428.55,71.43,6,2.83,56,Male,High,Yes,2
C00118,265.34,132.67,2,2.00,64,Female,High,Yes,2
C00119,581.39,96.90,6,1.33,42,Female,Low,No,0
C00120,227.02,75.67,3,2.67,60,Male,Medium,Yes,1
C00121,312.98,104.33,3,3.00,48,Female,Low,Yes,2
C00122,769.45,96.18,8,8.75,65,Female,High,Yes,0
C00123,1037.64,115.29,9,2.56,36,Male,Low,Yes,0
C00124,43.47,43.47,1,4.00,21,Male,Medium,Yes,1
C00125,686.89,114.48,6,3.17,28,Female,Medium,No,1
C00126,530.57,106.11,5,2.60,67,Female,Low,No,2
C00127,658.97,94.14,7,2.71,44,Female,Medium,No,1
C00128,580.57,96.76,6,11.17,33,Female,Medium,No,1
C00129,444.29,111.07,4,1.75,61,Male,Medium,No,1
C00130,703.10,117.18,6,2.67,69,Female,Medium,Yes,1
C00131,351.73,87.93,4,2.75,27,Male,Medium,Yes,1
C00132,541.30,90.22,6,2.17,61,Male,Medium,No,1
C00133,696.21,99.46,7,2.14,24,Male,Low,No,0
C00134,215.38,107.69,2,2.00,39,Male,Low,No,2
C00135,345.37,86.34,4,1.75,69,Female,High,No,2
C00136,378.22,75.64,5,1.40,54,Male,Low,No,2
C00137,268.43,67.11,4,2.50,40,Female,Medium,Yes,1
C00138,215.60,107.80,2,2.50,30,Male,Medium,Yes,1
C00139,402.64,80.53,5,2.60,54,Female,High,Yes,2
C00140,226.76,113.38,2,1.50,66,Male,Low,No,2
C00141,670.89,111.82,6,3.00,61,Female,High,No,0
C00142,508.88,84.81,6,3.00,40,Female,Low,No,2
C00143,430.11,86.02,5,2.00,18,Male,Low,Yes,2
C00144,1031.33,114.59,9,1.78,28,Male,Medium,No,0
C00145,625.99,104.33,6,2.00,59,Male,High,No,0
C00146,533.05,88.84,6,2.83,43,Female,High,Yes,0
C00147,530.21,66.28,8,2.50,66,Female,Medium,Yes,1
C00148,407.04,67.84,6,2.67,48,Male,Low,Yes,2
C00149,587.39,73.42,8,2.63,69,Female,Low,Yes,0
C00150,504.17,100.83,5,2.00,37,Male,High,Yes,2
C00151,376.26,125.42,3,1.33,22,Male,Low,No,2
C00152,371.93,123.98,3,3.00,45,Male,Low,No,2
C00153,549.03,91.51,6,2.33,61,Male,High,Yes,0
C00154,255.72,127.86,2,3.00,21,Female,High,Yes,2
C00155,376.99,94.25,4,2.00,69,Female,Low,Yes,2
C00156,447.21,89.44,5,2.40,26,Male,Low,Yes,2
C00157,530.73,106.15,5,1.80,52,Male,Low,No,2
C00158,789.46,98.68,8,4.75,65,Female,High,No,0
C00159,501.03,71.58,7,2.29,19,Male,Medium,Yes,1
C00160,751.90,107.41,7,2.71,68,Male,Medium,No,1
C00161,486.58,97.32,5,15.20,48,Female,Low,Yes,2
C00162,321.13,80.28,4,1.75,52,Female,Low,Yes,2
C00163,659.48,94.21,7,3.29,65,Female,Low,No,0
C00164,338.17,84.54,4,2.50,62,Male,Low,No,2
C00165,576.48,64.05,9,2.89,18,Female,Medium,No,1
C00166,601.80,100.30,6,3.00,25,Male,Low,Yes,0
C00167,470.47,94.09,5,2.20,62,Male,Low,Yes,2
C00168,395.63,98.91,4,2.00,68,Male,Low,Yes,2
C00169,246.50,82.17,3,2.00,52,Female,Low,No,2
C00170,454.44,113.61,4,2.50,18,Female,Medium,No,1
C00171,39.11,39.11,1,3.00,62,Female,High,No,2
C00172,377.74,188.87,2,1.00,30,Male,High,Yes,2
C00173,399.27,99.82,4,3.25,31,Female,Low,No,2
C00174,458.29,76.38,6,2.50,65,Female,Low,No,2
C00175,614.77,122.95,5,2.40,67,Female,Low,No,0
C00176,709.39,118.23,6,2.17,44,Female,Medium,Yes,1
C00177,618.80,123.76,5,2.60,35,Male,High,Yes,0
C00178,258.81,129.41,2,2.00,55,Male,Medium,No,1
C00179,679.92,84.99,8,8.75,50,Female,Low,No,0
C00180,728.35,104.05,7,2.43,52,Male,Low,No,0
C00181,184.40,61.47,3,2.33,41,Male,Low,No,2
C00182,669.99,111.67,6,2.83,38,Male,Low,No,0
C00183,439.53,62.79,7,2.86,42,Male,Low,Yes,2
C00184,1013.18,101.32,10,8.30,48,Male,Low,Yes,0
C00185,355.16,88.79,4,2.25,51,Female,Low,No,2
C00186,466.15,155.38,3,3.00,30,Female,Medium,No,1
C00187,456.18,91.24,5,12.60,62,Female,Low,Yes,2
C00188,341.23,85.31,4,2.75,52,Male,High,No,2
C00189,494.46,98.89,5,2.80,19,Male,Medium,No,1
C00190,720.01,102.86,7,5.29,48,Male,High,Yes,0
C00191,690.25,98.61,7,2.00,33,Female,Low,Yes,0
C00192,818.91,116.99,7,3.00,28,Female,Low,No,0
C00193,797.29,113.90,7,2.14,35,Male,High,No,0
C00194,666.61,133.32,5,1.80,42,Male,Low,No,0
C00195,534.00,89.00,6,2.17,36,Male,Low,No,2
C00196,368.18,73.64,5,2.80,35,Female,Medium,No,1
C00197,266.32,88.77,3,3.33,65,Male,High,Yes,2
C00198,895.60,89.56,10,2.70,31,Male,Low,Yes,0
C00199,738.85,105.55,7,3.00,62,Female,High,Yes,0
C00200,558.73,93.12,6,2.00,32,Female,Medium,Yes,1
C00201,391.03,97.76,4,2.00,65,Male,Low,Yes,2
C00202,203.60,50.90,4,2.25,66,Male,Medium,No,1
C00203,711.05,118.51,6,2.50,26,Male,Low,Yes,0
C00204,294.37,49.06,6,2.67,57,Female,Low,No,2
C00205,662.97,94.71,7,3.29,60,Female,Low,No,0
C00206,122.06,61.03,2,2.50,42,Female,Low,No,2
C00207,644.27,128.85,5,2.60,30,Male,High,No,0
C00208,1000.01,125.00,8,2.75,27,Male,Low,Yes,0
C00209,787.83,112.55,7,2.29,29,Female,High,No,0
C00210,1133.61,113.36,10,2.80,40,Female,High,Yes,0
C00211,272.87,90.96,3,3.00,68,Female,High,No,2
C00212,815.29,101.91,8,1.75,48,Female,Low,No,0
C00213,270.28,90.09,3,1.67,27,Male,Medium,No,1
C00214,369.45,92.36,4,2.00,45,Female,High,Yes,2
C00215,424.63,70.77,6,2.33,48,Female,Low,No,2
C00216,316.99,63.40,5,1.80,53,Female,Medium,Yes,1
C00217,26.12,26.12,1,2.00,67,Female,High,Yes,2
C00218,155.37,51.79,3,2.00,64,Female,Low,No,2
C00219,397.64,79.53,5,2.60,20,Male,High,Yes,2
C00220,963.13,107.01,9,2.89,57,Male,Low,Yes,0
C00221,387.85,77.57,5,3.20,62,Male,High,No,2
C00222,344.83,86.21,4,3.25,50,Male,Low,Yes,2
C00223,668.52,95.50,7,10.14,68,Male,Medium,No,1
C00224,447.88,89.58,5,2.20,28,Female,Medium,Yes,1
C00226,367.71,73.54,5,2.20,48,Female,High,No,2
C00227,1263.15,126.32,10,3.90,37,Male,Medium,Yes,0
C00228,409.35,102.34,4,15.75,52,Male,Low,Yes,2
C00229,279.81,69.95,4,2.00,48,Male,High,No,2
C00230,258.18,64.55,4,2.25,61,Female,Medium,No,1
C00231,637.80,91.11,7,2.14,19,Female,High,Yes,0
C00233,794.25,113.46,7,2.14,32,Male,Low,Yes,0
C00234,368.30,61.38,6,2.33,37,Male,Medium,No,1
C00235,236.82,78.94,3,2.67,53,Male,Low,No,2
C00236,549.47,91.58,6,2.50,65,Female,Medium,No,1
C00237,877.29,97.48,9,1.89,48,Female,Low,Yes,0
C00238,46.36,46.36,1,3.00,54,Female,Low,Yes,2
C00239,719.31,102.76,7,2.14,21,Male,High,No,0
C00240,385.70,96.43,4,2.25,49,Female,High,No,2
C00241,440.74,73.46,6,2.17,62,Female,High,No,2
C00242,390.69,78.14,5,3.00,55,Female,Low,Yes,2
C00243,906.83,90.68,10,2.80,54,Female,Low,No,0
C00244,180.85,60.28,3,2.67,41,Female,Medium,No,1
C00245,783.67,111.95,7,2.29,42,Male,Low,Yes,0
C00246,56.34,56.34,1,1.00,64,Female,Medium,No,1
C00247,88.46,44.23,2,2.50,63,Male,High,Yes,2
C00248,390.93,97.73,4,3.00,18,Male,Medium,Yes,1
C00249,181.12,90.56,2,2.00,25,Male,Medium,Yes,1
C00250,873.67,124.81,7,2.14,62,Male,Low,Yes,0
C00251,306.15,153.08,2,3.00,52,Female,High,No,2
C00252,431.68,86.34,5,3.20,50,Male,High,No,2
C00253,633.60,79.20,8,10.13,21,Male,Medium,Yes,1
C00254,554.80,110.96,5,1.80,49,Male,Low,Yes,2
C00255,303.17,101.06,3,2.67,41,Male,High,Yes,2
C00256,371.33,123.78,3,3.00,58,Female,Medium,Yes,1
C00257,152.99,76.50,2,2.50,32,Male,Low,No,2
C00258,1010.68,144.38,7,2.43,36,Female,High,No,0
C00259,365.41,91.35,4,2.50,57,Female,Low,Yes,2
C00260,262.70,87.57,3,2.00,29,Female,High,Yes,2
C00261,971.65,121.46,8,2.63,68,Male,Low,No,0
C00262,225.36,75.12,3,2.00,46,Male,Medium,No,1
C00263,402.85,57.55,7,2.00,29,Female,Low,No,2
C00264,250.39,62.60,4,2.25,63,Female,Medium,No,1
C00265,273.06,91.02,3,20.00,60,Female,High,No,2
C00266,654.49,109.08,6,2.00,40,Male,High,Yes,0
C00267,632.72,105.45,6,3.00,45,Female,Low,No,0
C00268,254.25,63.56,4,2.50,41,Male,Low,No,2
C00269,548.22,109.64,5,13.00,19,Female,Medium,Yes,1
C00270,400.48,66.75,6,2.17,60,Female,Medium,Yes,1
C00271,469.95,93.99,5,2.40,48,Male,Low,Yes,2
C00272,976.02,108.45,9,3.11,32,Female,High,Yes,0
C00273,513.04,85.51,6,12.00,29,Male,Low,Yes,2
C00274,867.27,86.73,10,3.00,60,Female,Medium,No,0
C00275,405.82,81.16,5,6.40,51,Male,Medium,No,1
C00276,322.31,107.44,3,3.00,52,Female,Low,Yes,2
C00277,1178.79,130.98,9,2.56,55,Male,Low,No,0
C00278,605.07,100.85,6,2.67,68,Male,Medium,No,1
C00279,332.32,83.08,4,2.00,37,Male,Low,No,2
C00280,413.18,103.30,4,1.75,43,Female,Medium,No,1
C00281,383.35,63.89,6,3.17,31,Male,High,Yes,2
C00282,439.23,87.85,5,2.20,34,Female,Low,Yes,2
C00283,149.64,74.82,2,3.00,47,Male,Low,No,2
C00284,381.04,63.51,6,2.50,38,Male,Low,Yes,2
C00285,480.36,96.07,5,3.20,55,Female,Low,No,2
C00286,253.00,84.33,3,1.67,47,Male,Medium,Yes,1
C00287,414.42,103.60,4,3.00,39,Male,Medium,Yes,1
C00288,727.21,90.90,8,3.00,43,Female,Low,Yes,0
C00289,418.54,104.63,4,3.00,18,Male,Low,No,2
C00290,727.67,121.28,6,2.83,61,Male,Medium,No,1
C00291,429.06,85.81,5,1.60,37,Male,High,No,2
C00292,309.53,103.18,3,3.67,54,Female,Medium,Yes,1
C00293,409.69,102.42,4,15.50,56,Female,High,No,2
C00294,1400.56,107.74,13,3.00,45,Male,Low,Yes,0
C00295,541.83,108.37,5,2.60,53,Male,Medium,Yes,1
C00296,217.95,72.65,3,1.67,47,Male,High,Yes,2
C00298,214.50,107.25,2,4.00,35,Female,High,Yes,2
C00299,62.35,62.35,1,1.00,28,Male,Medium,No,1
C00300,367.49,73.50,5,2.40,49,Male,High,Yes,2
C00301,630.64,90.09,7,2.57,54,Male,Low,Yes,0
C00302,252.38,126.19,2,3.00,49,Male,Low,No,2
C00303,721.89,120.32,6,1.83,39,Female,Medium,No,1
C00304,141.23,141.23,1,1.00,50,Male,Medium,Yes,1
C00305,843.60,140.60,6,10.00,23,Female,High,Yes,0
C00306,717.74,102.53,7,2.86,48,Female,Medium,No,1
C00307,587.27,65.25,9,8.22,42,Male,Low,No,0
C00308,821.90,102.74,8,2.13,59,Male,High,Yes,0
C00309,535.78,89.30,6,2.17,41,Male,Low,Yes,2
C00310,365.61,121.87,3,2.00,56,Female,Low,No,2
C00311,56.40,56.40,1,1.00,67,Female,Low,No,2
C00312,760.99,108.71,7,2.43,51,Female,Low,No,0
C00313,611.91,55.63,11,2.45,22,Female,High,Yes,0
C00314,542.29,108.46,5,1.60,42,Female,Low,No,2
C00315,350.94,70.19,5,2.00,35,Male,Low,No,2
C00316,375.15,75.03,5,2.40,18,Male,Low,Yes,2
C00317,639.46,106.58,6,2.83,25,Female,Low,Yes,0
C00318,482.47,96.49,5,2.60,23,Female,Medium,Yes,1
C00319,875.72,125.10,7,2.43,29,Male,High,Yes,0
C00320,369.17,92.29,4,2.00,34,Female,High,Yes,2
C00321,579.55,96.59,6,2.83,22,Female,High,No,0
C00322,922.51,131.79,7,8.57,21,Female,High,Yes,0
C00323,290.46,145.23,2,1.00,32,Male,Medium,No,1
C00324,363.62,121.21,3,3.67,37,Female,Medium,No,1
C00325,156.20,78.10,2,3.00,51,Male,Low,No,2
C00326,590.42,84.35,7,3.29,23,Female,High,Yes,0
C00327,453.09,90.62,5,2.40,52,Female,Medium,No,1
C00328,1307.66,118.88,11,2.55,21,Male,Medium,Yes,0
C00329,241.34,60.34,4,2.25,69,Female,High,No,2
C00330,297.19,148.60,2,3.00,33,Female,Medium,No,1
C00331,558.86,93.14,6,2.50,38,Female,Low,Yes,0
C00332,899.42,128.49,7,2.29,23,Male,Low,Yes,0
C00333,784.47,98.06,8,2.75,24,Female,Low,No,0
C00334,550.29,110.06,5,2.40,21,Female,Medium,Yes,1
C00335,799.04,79.90,10,3.50,53,Female,High,No,0
C00336,401.61,100.40,4,2.25,50,Male,Low,No,2
C00337,86.99,86.99,1,4.00,32,Male,Low,Yes,2
C00338,78.73,78.73,1,2.00,61,Female,High,Yes,2
C00339,250.55,125.28,2,3.00,26,Female,High,Yes,2
C00340,552.10,110.42,5,1.80,35,Female,Low,Yes,2
C00341,553.93,92.32,6,2.67,45,Female,Low,Yes,0
C00342,987.62,141.09,7,3.14,59,Female,Low,No,0
C00343,650.69,108.45,6,2.50,64,Female,Low,No,0
C00344,403.21,100.80,4,2.50,22,Female,Medium,No,1
C00345,706.17,100.88,7,2.29,50,Female,Low,Yes,0
C00346,623.28,103.88,6,2.17,19,Male,Low,Yes,0
C00347,566.36,94.39,6,2.67,19,Female,Low,Yes,0
C00348,417.85,104.46,4,2.25,18,Male,Low,Yes,2
C00349,736.85,92.11,8,2.25,41,Male,Medium,Yes,1
C00350,346.67,86.67,4,2.25,42,Male,Medium,No,1
C00351,701.70,140.34,5,2.80,19,Male,Low,Yes,0
C00352,388.48,97.12,4,2.75,39,Male,Low,No,2
C00353,712.14,101.73,7,1.86,18,Male,Low,Yes,0
C00354,552.64,138.16,4,2.00,68,Female,Low,No,2
C00355,1165.36,105.94,11,3.00,47,Male,Low,No,0
C00356,747.92,124.65,6,2.83,53,Female,High,Yes,0
C00357,525.05,87.51,6,2.00,69,Male,Medium,No,1
C00358,387.72,77.54,5,2.80,47,Male,High,Yes,2
C00359,394.46,98.62,4,2.75,49,Female,Low,No,2
C00360,377.57,62.93,6,2.83,22,Female,Medium,No,1
C00361,742.40,92.80,8,9.38,62,Female,High,Yes,0
C00362,783.18,111.88,7,2.29,56,Male,Low,No,0
C00363,547.86,109.57,5,2.80,20,Male,Low,Yes,2
C00364,501.30,125.33,4,15.00,63,Male,High,No,2
C00365,384.00,128.00,3,3.67,38,Female,Medium,No,1
C00366,529.22,105.84,5,3.00,18,Male,Medium,Yes,1
C00367,387.27,77.45,5,2.40,42,Female,High,Yes,2
C00368,366.50,73.30,5,2.20,35,Male,Medium,No,1
C00369,394.59,78.92,5,2.80,67,Male,Medium,Yes,1
C00370,653.23,93.32,7,2.71,26,Female,High,Yes,0
C00371,320.47,53.41,6,7.00,30,Female,High,Yes,2
C00372,700.01,116.67,6,2.33,60,Male,High,No,0
C00373,327.70,81.93,4,2.25,44,Female,Low,No,2
C00374,562.02,140.51,4,2.25,22,Female,High,Yes,2
C00375,155.91,77.96,2,2.00,50,Male,Medium,Yes,1
C00376,446.08,111.52,4,3.75,52,Male,Medium,Yes,1
C00377,434.72,108.68,4,2.25,68,Female,High,Yes,2
C00378,725.87,120.98,6,3.00,41,Female,Low,No,0
C00379,287.51,95.84,3,1.67,53,Female,Medium,No,1
C00380,566.82,141.70,4,2.00,60,Male,High,No,2
C00381,243.44,81.15,3,2.67,49,Female,Low,Yes,2
C00382,375.00,75.00,5,1.60,33,Male,High,Yes,2
C00383,361.13,90.28,4,2.50,59,Female,Medium,Yes,1
C00384,270.35,67.59,4,3.00,25,Male,Medium,No,1
C00385,497.01,82.84,6,2.50,53,Male,Low,No,2
C00386,494.74,98.95,5,1.80,46,Female,Low,Yes,2
C00387,787.24,87.47,9,8.67,47,Female,Low,Yes,0
C00388,559.59,111.92,5,2.80,35,Female,Low,No,2
C00389,263.23,87.74,3,3.00,52,Male,High,No,2
C00390,398.85,132.95,3,20.00,54,Female,High,Yes,2
C00391,288.04,96.01,3,3.67,47,Male,Medium,Yes,1
C00392,169.09,84.55,2,3.50,53,Male,Low,No,2
C00393,319.87,159.94,2,3.00,63,Female,Medium,No,1
C00394,639.34,106.56,6,2.50,67,Male,High,Yes,0
C00395,337.11,67.42,5,1.40,34,Female,Medium,Yes,1
C00396,621.72,103.62,6,2.33,26,Female,High,Yes,0
C00397,556.14,92.69,6,2.00,69,Female,Medium,No,1
C00398,129.05,64.53,2,1.00,28,Female,Low,No,2
C00399,174.14,87.07,2,1.50,33,Female,Low,Yes,2
C00400,439.11,87.82,5,2.40,53,Female,High,Yes,2
C00401,58.99,58.99,1,2.00,28,Female,High,Yes,2
C00402,603.52,100.59,6,2.33,38,Female,Medium,No,1
C00403,736.82,105.26,7,2.29,35,Male,Medium,Yes,1
C00404,315.75,105.25,3,3.00,69,Male,Medium,Yes,1
C00405,109.88,109.88,1,2.00,51,Female,High,No,2
C00406,448.08,89.62,5,2.80,22,Female,High,No,2
C00407,536.04,89.34,6,2.50,27,Female,Medium,Yes,1
C00408,515.74,103.15,5,2.60,41,Female,Low,Yes,2
C00409,596.06,99.34,6,3.00,58,Female,High,No,0
C00410,342.38,85.60,4,2.75,21,Male,Medium,Yes,1
C00411,422.83,84.57,5,2.20,42,Male,Low,No,2
C00412,438.14,109.54,4,2.50,29,Male,Low,No,2
C00413,454.20,113.55,4,1.50,53,Male,Low,Yes,2
C00414,251.32,62.83,4,2.25,38,Female,Medium,No,1
C00415,593.18,118.64,5,3.00,63,Female,High,Yes,0
C00416,552.89,110.58,5,2.20,20,Female,Medium,Yes,1
C00417,622.86,124.57,5,2.00,50,Male,Medium,No,1
C00418,345.13,86.28,4,2.00,39,Male,Low,No,2
C00419,460.20,153.40,3,2.33,40,Male,Medium,No,1
C00420,724.08,120.68,6,2.67,24,Male,Low,Yes,0
C00421,571.40,71.43,8,2.50,19,Male,High,Yes,0
C00422,491.17,81.86,6,2.17,57,Male,Medium,No,1
C00423,216.17,108.09,2,1.50,56,Female,High,No,2
C00424,757.70,126.28,6,2.83,23,Female,Medium,No,1
C00425,455.31,91.06,5,3.00,57,Male,Medium,No,1
C00426,552.68,110.54,5,2.60,56,Male,High,No,2
C00427,431.74,86.35,5,2.60,25,Male,Low,No,2
C00428,1004.13,125.52,8,2.88,31,Female,Medium,No,0
C00429,501.24,83.54,6,2.17,53,Female,High,Yes,2
C00430,183.74,61.25,3,2.33,23,Male,Low,No,2
C00431,916.53,114.57,8,2.75,59,Female,High,No,0
C00432,786.35,112.34,7,2.57,49,Male,High,No,0
C00433,417.32,104.33,4,2.25,35,Male,Low,Yes,2
C00434,227.58,45.52,5,13.20,28,Female,High,No,2
C00435,465.83,93.17,5,3.00,67,Female,Low,No,2
C00436,1090.70,109.07,10,2.00,33,Male,High,No,0
C00437,591.21,84.46,7,1.86,47,Male,Low,Yes,0
C00438,692.55,69.26,10,7.60,65,Female,Low,No,0
C00439,260.81,86.94,3,2.00,24,Female,Low,No,2
C00441,622.32,103.72,6,3.00,48,Female,Medium,Yes,1
C00442,518.89,103.78,5,2.80,31,Female,Low,No,2
C00443,508.86,84.81,6,2.67,53,Male,Low,Yes,2
C00444,642.61,91.80,7,2.29,63,Female,High,Yes,0
C00445,265.32,132.66,2,3.00,31,Female,Medium,Yes,1
C00446,748.51,124.75,6,2.17,59,Male,High,Yes,0
C00447,555.95,111.19,5,2.60,64,Male,Low,No,2
C00448,359.56,89.89,4,2.75,23,Female,Low,Yes,2
C00449,430.93,107.73,4,4.00,62,Male,Low,No,2
C00450,970.83,121.35,8,2.00,32,Male,Low,No,0
C00451,572.15,81.74,7,2.57,68,Male,High,No,0
C00452,552.56,110.51,5,2.00,34,Male,Medium,No,1
