CustomerID,Age,Gender,Income Level,LoyaltyMember,ZipCode
C00112,19,Male,Low,No,57156
C00113,25,Male,Medium,No,10829
C00114,58,Male,High,No,15812
C00116,20,Male,High,Yes,25398
C00117,56,Male,High,Yes,97055
C00118,64,Female,High,Yes,54289
C00119,42,Female,Low,No,26374
C00120,60,Male,Medium,Yes,91026
C00121,48,Female,Low,Yes,81536
C00122,65,Female,High,Yes,87830
C00124,21,Male,Medium,Yes,37497
C00125,28,Female,Medium,No,66401
C00126,67,Female,Low,No,48091
C00127,44,Female,Medium,No,64075
C00128,33,Female,Medium,No,53726
C00129,61,Male,Medium,No,77783
C00130,69,Female,Medium,Yes,21521
C00131,27,Male,Medium,Yes,72720
C00132,61,Male,Medium,No,89283
C00133,24,Male,Low,No,32193
C00134,39,Male,Low,No,16272
C00135,69,Female,High,No,67655
C00136,54,Male,Low,No,2902
C00137,40,Female,Medium,Yes,44943
C00138,30,Male,Medium,Yes,4959
C00139,54,Female,High,Yes,34452
C00140,66,Male,Low,No,46414
C00141,61,Female,High,No,81508
C00142,40,Female,Low,No,46244
C00143,18,Male,Low,Yes,89488
C00144,28,Male,Medium,No,71004
C00145,59,Male,High,No,38381
C00146,43,Female,High,Yes,70451
C00147,66,Female,Medium,Yes,66214
C00148,48,Male,Low,Yes,82308
C00150,37,Male,High,Yes,96474
C00151,22,Male,Low,No,34142
C00152,45,Male,Low,No,54662
C00153,61,Male,High,Yes,59048
C00154,21,Female,High,Yes,55785
C00156,26,Male,Low,Yes,56197
C00158,65,Female,High,No,77018
C00159,19,Male,Medium,Yes,94508
C00160,68,Male,Medium,No,16675
C00165,18,Female,Medium,No,71470
C00166,25,Male,Low,Yes,94275
C00167,62,Male,Low,Yes,10985
C00168,68,Male,Low,Yes,54555
C00170,18,Female,Medium,No,4492
C00171,62,Female,High,No,13538
C00172,30,Male,High,Yes,29218
C00173,31,Female,Low,No,23611
C00174,65,Female,Low,No,13882
C00176,44,Female,Medium,Yes,46190
C00177,35,Male,High,Yes,84751
C00178,55,Male,Medium,No,14626
C00179,50,Female,Low,No,78548
C00180,52,Male,Low,No,82339
C00181,41,Male,Low,No,80201
C00183,42,Male,Low,Yes,73249
C00185,51,Female,Low,No,7723
C00186,30,Female,Medium,No,87186
C00187,62,Female,Low,Yes,92759
C00188,52,Male,High,No,92560
C00189,19,Male,Medium,No,91254
C00190,48,Male,High,Yes,31387
C00191,33,Female,Low,Yes,10256
C00192,28,Female,Low,No,29710
C00193,35,Male,High,No,30141
C00194,42,Male,Low,No,65646
C00195,36,Male,Low,No,22556
C00196,35,Female,Medium,No,95367
C00197,65,Male,High,Yes,26520
C00199,62,Female,High,Yes,77193
C00200,32,Female,Medium,Yes,52629
C00201,65,Male,Low,Yes,72327
C00202,66,Male,Medium,No,7018
C00203,26,Male,Low,Yes,97291
C00207,30,Male,High,No,97328
C00208,27,Male,Low,Yes,21851
C00209,29,Female,High,No,3600
C00210,40,Female,High,Yes,33250
C00211,68,Female,High,No,45429
C00213,27,Male,Medium,No,60450
C00214,45,Female,High,Yes,18987
C00215,48,Female,Low,No,4748
C00216,53,Female,Medium,Yes,93464
C00217,67,Female,High,Yes,53918
C00218,64,Female,Low,No,41351
C00219,20,Male,High,Yes,75054
C00220,57,Male,Low,Yes,71948
C00221,62,Male,High,No,4988
C00222,50,Male,Low,Yes,22615
C00223,68,Male,Medium,No,49600
C00224,28,Female,Medium,Yes,12299
C00225,53,Female,High,No,23255
C00226,48,Female,High,No,99149
C00227,37,Male,Medium,Yes,3144
C00228,52,Male,Low,Yes,93613
C00229,48,Male,High,No,48022
C00230,61,Female,Medium,No,98577
C00231,19,Female,High,Yes,91345
C00232,24,Female,Low,No,14088
C00233,32,Male,Low,Yes,61773
C00234,37,Male,Medium,No,28894
C00235,53,Male,Low,No,42517
C00236,65,Female,Medium,No,66729
C00237,48,Female,Low,Yes,26506
C00239,21,Male,High,No,71545
C00240,49,Female,High,No,25195
C00241,62,Female,High,No,90485
C00242,55,Female,Low,Yes,4173
C00243,54,Female,Low,No,49732
C00244,41,Female,Medium,No,36833
C00245,42,Male,Low,Yes,24460
C00246,64,Female,Medium,No,94620
C00247,63,Male,High,Yes,39390
C00248,18,Male,Medium,Yes,81839
C00249,25,Male,Medium,Yes,82843
C00250,62,Male,Low,Yes,17128
C00251,52,Female,High,No,73610
C00252,50,Male,High,No,21207
C00253,21,Male,Medium,Yes,59343
C00254,49,Male,Low,Yes,53909
C00255,41,Male,High,Yes,89816
C00256,58,Female,Medium,Yes,64903
C00257,32,Male,Low,No,13687
C00258,36,Female,High,No,50163
C00260,29,Female,High,Yes,97455
C00261,68,Male,Low,No,61702
C00262,46,Male,Medium,No,1642
C00263,29,Female,Low,No,56382
C00264,63,Female,Medium,No,41800
C00265,60,Female,High,No,36392
C00266,40,Male,High,Yes,96189
C00267,45,Female,Low,No,93566
C00268,41,Male,Low,No,32951
C00269,19,Female,Medium,Yes,58104
C00270,60,Female,Medium,Yes,61729
C00271,48,Male,Low,Yes,45335
C00272,32,Female,High,Yes,3489
C00273,29,Male,Low,Yes,68628
C00274,60,Female,Medium,No,49148
C00275,51,Male,Medium,No,31871
C00276,52,Female,Low,Yes,22189
C00278,68,Male,Medium,No,90451
C00280,43,Female,Medium,No,19463
C00281,31,Male,High,Yes,30446
C00282,34,Female,Low,Yes,38297
C00283,47,Male,Low,No,10231
C00285,55,Female,Low,No,87958
C00286,47,Male,Medium,Yes,27571
C00287,39,Male,Medium,Yes,39393
C00289,18,Male,Low,No,25152
C00290,61,Male,Medium,No,31496
C00291,37,Male,High,No,29884
C00292,54,Female,Medium,Yes,81875
C00293,56,Female,High,No,19308
C00294,45,Male,Low,Yes,9744
C00295,53,Male,Medium,Yes,7232
C00296,47,Male,High,Yes,96952
C00297,67,Female,Medium,Yes,47700
C00298,35,Female,High,Yes,66544
C00299,28,Male,Medium,No,88605
C00300,49,Male,High,Yes,19723
C00302,49,Male,Low,No,30440
C00303,39,Female,Medium,No,89498
C00304,50,Male,Medium,Yes,96809
C00305,23,Female,High,Yes,42482
C00306,48,Female,Medium,No,63082
C00307,42,Male,Low,No,8290
C00308,59,Male,High,Yes,69738
C00309,41,Male,Low,Yes,94619
C00310,56,Female,Low,No,14492
C00311,67,Female,Low,No,84950
C00312,51,Female,Low,No,75912
C00313,22,Female,High,Yes,23836
C00314,42,Female,Low,No,94962
C00315,35,Male,Low,No,56376
C00317,25,Female,Low,Yes,24421
C00318,23,Female,Medium,Yes,77539
C00319,29,Male,High,Yes,14944
C00320,34,Female,High,Yes,91187
C00321,22,Female,High,No,64244
C00322,21,Female,High,Yes,34909
C00323,32,Male,Medium,No,86850
C00324,37,Female,Medium,No,79281
C00325,51,Male,Low,No,37021
C00326,23,Female,High,Yes,45439
C00327,52,Female,Medium,No,39960
C00328,21,Male,Medium,Yes,13660
C00329,69,Female,High,No,40554
C00330,33,Female,Medium,No,52031
C00331,38,Female,Low,Yes,80831
C00332,23,Male,Low,Yes,76747
C00333,24,Female,Low,No,46083
C00334,21,Female,Medium,Yes,89156
C00335,53,Female,High,No,29073
C00336,50,Male,Low,No,91510
C00337,32,Male,Low,Yes,82309
C00338,61,Female,High,Yes,74082
C00339,26,Female,High,Yes,68606
C00342,59,Female,Low,No,11270
C00343,64,Female,Low,No,98810
C00344,22,Female,Medium,No,10711
C00345,50,Female,Low,Yes,13191
C00346,19,Male,Low,Yes,19667
C00347,19,Female,Low,Yes,88418
C00349,41,Male,Medium,Yes,21260
C00350,42,Male,Medium,No,4849
C00351,19,Male,Low,Yes,87176
C00352,39,Male,Low,No,62617
C00353,18,Male,Low,Yes,5527
C00356,53,Female,High,Yes,33833
C00357,69,Male,Medium,No,77331
C00358,47,Male,High,Yes,80288
C00359,49,Female,Low,No,37748
C00360,22,Female,Medium,No,91488
C00361,62,Female,High,Yes,85273
C00362,56,Male,Low,No,13112
C00363,20,Male,Low,Yes,71982
C00364,63,Male,High,No,17969
C00365,38,Female,Medium,No,49787
C00366,18,Male,Medium,Yes,68981
C00367,42,Female,High,Yes,64468
C00368,35,Male,Medium,No,27926
C00369,67,Male,Medium,Yes,15342
C00370,26,Female,High,Yes,58768
C00371,30,Female,High,Yes,69635
C00372,60,Male,High,No,86608
C00373,44,Female,Low,No,38339
C00374,22,Female,High,Yes,37729
C00375,50,Male,Medium,Yes,50543
C00376,52,Male,Medium,Yes,80477
C00377,68,Female,High,Yes,90354
C00378,41,Female,Low,No,22252
C00379,53,Female,Medium,No,57321
C00380,60,Male,High,No,38865
C00381,49,Female,Low,Yes,47618
C00382,33,Male,High,Yes,8373
C00383,59,Female,Medium,Yes,10200
C00384,25,Male,Medium,No,32814
C00385,53,Male,Low,No,37704
C00386,46,Female,Low,Yes,68223
C00389,52,Male,High,No,37854
C00390,54,Female,High,Yes,62757
C00391,47,Male,Medium,Yes,29587
C00392,53,Male,Low,No,74760
C00393,63,Female,Medium,No,16089
C00394,67,Male,High,Yes,18950
C00395,34,Female,Medium,Yes,9563
C00396,26,Female,High,Yes,44885
C00397,69,Female,Medium,No,44316
C00398,28,Female,Low,No,31646
C00399,33,Female,Low,Yes,29460
C00400,53,Female,High,Yes,70357
C00401,28,Female,High,Yes,60040
C00402,38,Female,Medium,No,82889
C00403,35,Male,Medium,Yes,40871
C00404,69,Male,Medium,Yes,87768
C00405,51,Female,High,No,94632
C00406,22,Female,High,No,53034
C00407,27,Female,Medium,Yes,47942
C00408,41,Female,Low,Yes,87488
C00409,58,Female,High,No,63485
C00410,21,Male,Medium,Yes,70409
C00412,29,Male,Low,No,81831
C00413,53,Male,Low,Yes,74984
C00414,38,Female,Medium,No,11483
C00415,63,Female,High,Yes,68498
C00416,20,Female,Medium,Yes,50286
C00417,50,Male,Medium,No,48157
C00419,40,Male,Medium,No,59439
C00420,24,Male,Low,Yes,65414
C00421,19,Male,High,Yes,47690
C00422,57,Male,Medium,No,59219
C00423,56,Female,High,No,62709
C00424,23,Female,Medium,No,74003
C00425,57,Male,Medium,No,33301
C00426,56,Male,High,No,80594
C00427,25,Male,Low,No,54582
C00428,31,Female,Medium,No,10469
C00429,53,Female,High,Yes,27643
C00431,59,Female,High,No,33484
C00432,49,Male,High,No,61116
C00433,35,Male,Low,Yes,13396
C00434,28,Female,High,No,26276
C00435,67,Female,Low,No,14155
C00436,33,Male,High,No,15788
C00437,47,Male,Low,Yes,13770
C00438,65,Female,Low,No,27880
C00439,24,Female,Low,No,38530
C00440,45,Female,Medium,Yes,76768
C00441,48,Female,Medium,Yes,72389
C00442,31,Female,Low,No,75280
C00443,53,Male,Low,Yes,99399
C00444,63,Female,High,Yes,55319
C00445,31,Female,Medium,Yes,60591
C00446,59,Male,High,Yes,39695
C00447,64,Male,Low,No,76517
C00448,23,Female,Low,Yes,16149
C00449,62,Male,Low,No,57893
C00450,32,Male,Low,No,22744
C00451,68,Male,High,No,67969
C00452,34,Male,Medium,No,45773
C00453,66,Male,High,Yes,67709
C00454,51,Male,Medium,No,70413
C00455,63,Female,Low,No,87915
C00456,50,Female,Low,No,82141
C00457,52,Male,Low,Yes,89213
C00458,28,Male,Medium,Yes,70231
C00459,22,Female,High,Yes,69366
C00460,63,Female,High,No,31461
C00461,38,Male,Medium,No,15825
C00463,52,Female,High,Yes,84798
C00464,69,Female,Medium,Yes,41421
C00465,65,Male,Low,Yes,92371
C00466,27,Male,Medium,Yes,68410
C00467,28,Female,Low,Yes,22768
C00468,55,Male,Low,Yes,61632
C00469,20,Female,Low,Yes,30098
C00470,66,Male,Low,No,49175
C00471,31,Male,Medium,No,86415
C00472,28,Male,Low,Yes,69395
C00473,53,Male,Medium,No,36152
C00474,49,Male,Medium,Yes,11842
C00475,30,Female,High,No,28487
C00476,31,Female,High,Yes,37922
C00477,58,Female,High,Yes,12232
C00478,45,Female,Medium,No,68732
C00479,67,Female,High,No,93862
C00481,50,Male,Medium,Yes,92625
C00482,24,Female,Low,Yes,85166
C00484,19,Male,High,Yes,44643
C00485,52,Female,Medium,No,60212
C00486,63,Male,Medium,Yes,74957
C00487,65,Female,Low,No,9178
C00488,35,Female,High,Yes,34936
C00489,31,Female,Medium,Yes,92858
C00490,31,Male,Medium,Yes,91653
C00491,58,Female,Medium,No,79977
C00493,50,Female,High,No,56061
C00494,40,Female,Low,No,18777
C00495,25,Female,Medium,No,55730
C00496,33,Male,Medium,No,79479
C00497,29,Male,Low,Yes,92554
C00498,59,Male,Low,Yes,19679
C00499,58,Female,Low,No,45352
C00500,48,Male,Low,No,73071
C00501,31,Female,Medium,No,67930
C00502,61,Male,High,Yes,58219
C00503,55,Male,Low,No,27616
C00504,45,Female,Medium,Yes,94360
C00505,63,Female,High,No,62869
C00506,55,Female,Low,Yes,13230
C00507,21,Female,Low,Yes,48780
C00508,23,Female,High,No,51308
C00509,31,Male,Low,No,35145
C00510,60,Female,Low,No,19763
C00513,39,Male,Medium,Yes,30638
C00514,22,Female,High,No,32536
C00515,25,Female,High,No,89588
C00516,18,Female,Medium,No,99790
C00517,20,Female,Low,No,89380
C00518,60,Male,High,No,76579
C00519,44,Female,High,Yes,98788
C00520,30,Male,Low,Yes,12143
C00521,64,Female,High,No,69104
C00522,35,Male,High,Yes,69286
C00523,46,Female,Medium,No,15666
C00524,36,Male,High,Yes,25452
C00525,24,Female,Medium,No,21526
C00526,64,Female,Medium,No,99643
C00527,34,Female,Medium,Yes,31552
C00528,31,Male,High,Yes,26191
C00529,47,Male,High,No,87458
C00530,20,Female,Low,No,98184
C00532,68,Male,High,Yes,35810
C00533,58,Male,Low,Yes,59070
C00534,69,Female,Medium,No,77852
C00535,21,Female,Low,Yes,30784
C00536,65,Female,Low,No,68143
C00537,41,Female,High,Yes,77500
C00538,45,Female,High,No,62299
C00540,20,Female,Low,Yes,62565
C00541,40,Male,Medium,No,21225
C00543,18,Female,Low,No,99295
C00544,40,Male,Medium,Yes,99787
C00545,54,Male,Low,Yes,71026
C00546,28,Male,Low,No,50933
C00547,33,Female,Medium,Yes,73117
C00548,40,Female,Low,No,52972
C00549,39,Female,Low,Yes,60780
C00550,18,Female,Medium,Yes,16360
C00551,61,Female,Medium,Yes,26047
C00552,42,Male,Low,Yes,60192
C00553,66,Male,High,No,14504
C00554,19,Female,High,No,98124
C00555,67,Female,Medium,No,70068
C00557,33,Male,Medium,Yes,69198
C00558,18,Male,Medium,Yes,86109
C00559,42,Female,High,No,43224
C00560,69,Male,High,Yes,8708
C00561,54,Female,Medium,No,36478
C00562,64,Female,Low,Yes,69547
C00563,43,Female,High,Yes,16812
C00564,64,Female,Low,Yes,73403
C00566,36,Male,High,No,47242
C00567,60,Male,Medium,No,98920
C00568,20,Male,Medium,Yes,80675
C00569,42,Female,High,Yes,44231
C00570,54,Male,Medium,No,94851
C00571,51,Female,High,Yes,28494
C00573,26,Male,Medium,No,45981
C00574,36,Female,High,No,92556
C00575,61,Male,Low,Yes,71445
C00576,24,Female,High,Yes,95185
C00577,18,Male,Medium,No,49965
C00579,23,Female,Low,Yes,51280
C00580,66,Male,High,Yes,20836
C00581,35,Female,Medium,No,23375
C00583,25,Male,Medium,Yes,26214
C00584,46,Male,High,No,63847
C00586,26,Male,Medium,Yes,82800
C00587,22,Male,Low,Yes,61150
C00588,35,Male,Low,Yes,76261
C00589,53,Male,High,No,12984
C00590,25,Male,High,Yes,16868
C00591,50,Male,Low,Yes,10421
C00592,68,Male,Medium,No,76288
C00593,68,Female,Low,Yes,86742
C00594,38,Female,Medium,Yes,67113
C00596,40,Female,High,Yes,73479
C00597,34,Female,Medium,Yes,43116
C00598,62,Male,Medium,No,24138
C00599,47,Female,Medium,Yes,98075
C00600,42,Female,High,No,70072
C00601,32,Female,Low,Yes,1161
C00602,41,Female,Medium,Yes,92960
C00603,32,Female,Low,No,82817
C00604,37,Female,Low,No,48935
C00605,52,Male,High,Yes,41846
C00606,42,Male,High,Yes,51022
C00608,22,Female,High,Yes,72444
C00609,58,Female,Low,Yes,83084
C00611,43,Female,High,Yes,25194
C00612,35,Male,High,No,59749
C00613,63,Male,Low,No,25180
C00614,33,Male,Low,No,7631
C00615,19,Male,High,Yes,52862
C00616,57,Female,Low,Yes,68666
C00619,26,Female,Low,No,38912
C00620,52,Female,Low,No,64959
C00621,35,Female,High,No,88843
C00622,37,Female,High,No,9641
C00623,36,Male,High,No,20468
C00624,52,Male,High,Yes,47886
C00625,18,Female,Medium,No,66708
C00626,32,Male,High,No,42485
C00627,65,Female,Medium,No,1532
C00628,24,Male,Medium,No,93442
C00630,32,Male,Low,No,38216
C00631,18,Male,High,No,37742
C00632,67,Male,Low,Yes,81611
C00633,66,Male,High,Yes,79174
C00634,36,Female,Low,Yes,71330
C00635,21,Female,Low,Yes,58611
C00636,68,Female,High,Yes,39374
C00637,19,Female,High,No,32217
C00638,47,Female,High,Yes,17607
C00639,45,Male,Medium,Yes,26146
C00641,43,Female,Low,No,88035
C00642,41,Female,Medium,No,15378
C00643,43,Male,High,Yes,60853
C00644,49,Female,Low,No,39796
C00645,65,Male,High,Yes,11198
C00646,60,Female,Medium,No,58760
C00647,38,Female,Medium,Yes,91461
C00648,27,Female,Medium,Yes,25361
C00650,45,Male,Medium,No,89203
C00651,39,Male,Low,Yes,33700
C00652,30,Male,High,Yes,6207
C00653,25,Female,Medium,Yes,12131
C00654,25,Male,Low,No,17754
C00655,37,Female,Low,No,30495
C00656,39,Male,High,No,97737
C00657,33,Female,Low,No,20818
C00658,27,Male,Low,Yes,69789
C00659,35,Female,Low,No,84315
C00660,41,Female,Low,No,96020
C00662,63,Female,High,No,80632
C00663,38,Female,Medium,No,26674
C00664,29,Female,Medium,Yes,54292
C00665,61,Male,Medium,No,59498
C00666,52,Male,Medium,Yes,18012
C00667,20,Male,Medium,No,68646
C00668,49,Male,Low,Yes,30735
C00669,68,Female,Medium,No,41788
C00670,22,Male,Low,No,75845
C00671,59,Male,High,Yes,18881
C00672,45,Female,High,Yes,34302
C00673,58,Male,Medium,Yes,31746
C00674,19,Male,Medium,No,5254
C00675,36,Male,Medium,No,46449
C00676,61,Female,Low,No,23806
C00677,35,Male,High,No,98876
C00678,32,Male,Medium,No,71742
C00679,65,Female,High,No,78031
C00680,69,Male,High,Yes,69812
C00681,33,Female,Low,Yes,62176
C00682,23,Male,High,Yes,78996
C00683,68,Male,Medium,No,27330
C00684,50,Female,Medium,Yes,70051
C00685,59,Male,Medium,No,91908
C00686,60,Female,High,No,20197
C00687,34,Male,Medium,Yes,74117
C00688,47,Male,High,No,87495
C00689,53,Male,Low,No,74177
C00690,51,Male,Medium,No,24087
C00691,64,Male,High,No,85365
C00692,46,Female,High,Yes,93711
C00694,68,Male,Medium,Yes,18229
C00695,60,Male,High,Yes,74656
C00696,69,Male,Medium,Yes,3921
C00697,39,Male,Medium,No,14003
C00700,55,Male,High,Yes,71094
C00701,44,Male,Medium,No,56040
C00702,19,Female,High,No,97528
C00703,61,Female,Medium,No,27313
C00704,43,Male,Medium,Yes,84785
C00705,27,Male,High,No,53517
C00706,23,Male,Low,No,95237
C00707,39,Male,High,Yes,68778
C00710,64,Male,Low,Yes,58188
C00711,50,Male,High,Yes,6858
C00713,21,Female,Medium,Yes,37756
C00714,32,Male,Low,Yes,54920
C00715,49,Female,High,Yes,77700
C00716,49,Male,High,No,19959
C00717,27,Female,Low,Yes,36509
C00718,18,Female,Medium,Yes,67305
C00719,56,Male,High,Yes,22705
C00720,58,Male,Medium,Yes,94023
C00721,36,Male,Low,No,97483
C00722,19,Male,Low,No,96296
C00723,61,Female,Medium,No,67476
C00724,29,Male,High,Yes,4997
C00725,39,Male,Low,No,22614
C00726,54,Male,Medium,No,92015
C00727,21,Female,Medium,No,33133
C00728,61,Male,Low,Yes,6571
C00729,33,Male,High,Yes,501
C00731,43,Female,Low,No,80234
C00732,49,Male,Low,No,54959
C00733,22,Female,Low,Yes,10190
C00734,44,Male,Low,Yes,20345
C00736,34,Male,Low,Yes,84639
C00737,26,Female,Medium,Yes,47702
C00738,46,Male,Low,No,36172
C00739,19,Female,High,No,5442
C00740,49,Female,Low,Yes,15227
C00741,31,Male,Low,Yes,26862
C00742,20,Male,Medium,No,29902
C00744,52,Female,High,Yes,24773
C00745,39,Male,High,Yes,84683
C00746,65,Female,Low,Yes,39639
C00747,35,Male,Low,No,20395
C00748,49,Male,Medium,Yes,79335
C00749,64,Male,High,No,3075
C00750,28,Male,Medium,No,76674
C00751,42,Female,High,No,97742
C00752,58,Male,High,No,57231
C00753,27,Male,Low,Yes,71340
C00754,69,Male,High,No,81506
C00755,45,Male,Medium,No,16051
C00756,32,Male,High,No,46362
C00757,33,Male,Medium,Yes,80467
C00758,60,Male,High,No,78436
C00759,21,Female,Low,No,26813
C00760,55,Male,Low,No,36807
C00761,19,Female,Low,Yes,1924
C00762,31,Female,High,Yes,35737
C00763,64,Male,Low,Yes,57540
C00764,47,Female,Medium,No,55285
C00765,58,Female,High,Yes,92351
C00766,52,Female,Medium,Yes,82773
C00767,26,Male,Medium,No,98220
C00768,51,Female,Medium,Yes,67201
C00769,41,Male,High,Yes,60690
C00770,43,Male,High,No,31667
C00771,46,Male,High,Yes,65433
C00773,28,Female,Medium,Yes,18385
C00774,69,Male,Low,No,41924
C00775,33,Female,Low,Yes,78843
C00776,19,Male,Medium,Yes,4871
C00777,46,Female,Medium,Yes,18260
C00778,67,Male,High,No,74909
C00779,41,Female,Medium,No,32664
C00780,26,Female,High,Yes,82755
C00782,47,Female,Medium,Yes,10132
C00783,46,Female,High,No,8213
C00784,57,Male,Low,Yes,52377
C00785,38,Male,High,Yes,2563
C00786,39,Female,Low,No,46190
C00787,39,Female,Medium,No,58766
C00788,54,Female,High,Yes,30079
C00789,46,Female,Low,Yes,72579
C00790,24,Male,High,Yes,13465
C00791,20,Female,Medium,Yes,52844
C00792,61,Female,Low,No,92905
C00793,56,Male,High,Yes,87826
C00794,24,Female,High,Yes,76324
C00795,62,Female,Medium,No,23652
C00796,42,Female,High,Yes,99750
C00797,23,Female,Low,Yes,79255
C00798,49,Female,High,No,63737
C00799,60,Male,Medium,No,75235
C00800,40,Female,Medium,Yes,56288
C00801,57,Male,Medium,Yes,92297
C00802,47,Female,Medium,Yes,69038
C00803,27,Male,Low,Yes,87327
C00804,46,Female,Low,No,62055
C00805,39,Male,High,No,30666
C00806,38,Female,Medium,Yes,81564
C00807,60,Male,Low,Yes,40331
C00808,53,Female,Low,No,80394
C00809,23,Female,Low,No,48889
C00810,34,Female,Medium,No,47812
C00811,31,Male,High,No,53396
C00812,20,Male,Low,Yes,23862
C00813,57,Male,Low,Yes,68359
C00814,37,Female,Medium,No,70779
C00816,39,Male,Medium,Yes,68714
C00817,24,Female,Medium,Yes,52302
C00818,64,Female,Medium,Yes,53334
C00819,20,Male,Low,No,98594
C00820,58,Female,High,Yes,86886
C00821,26,Male,High,Yes,39792
C00822,34,Male,Low,No,12031
C00823,20,Male,Medium,No,89799
C00824,52,Male,Low,Yes,32302
C00825,54,Male,Low,No,91789
C00826,57,Female,Low,No,87201
C00827,40,Female,Medium,No,32761
C00828,42,Female,Low,Yes,13041
C00829,50,Female,Low,No,48426
C00830,19,Male,High,No,4037
C00831,58,Female,High,Yes,90803
C00832,45,Male,Medium,Yes,70561
C00833,33,Male,High,Yes,26225
C00835,18,Female,Medium,No,16815
C00836,68,Male,Medium,Yes,72482
C00837,46,Female,High,No,6906
C00838,65,Female,High,Yes,36951
C00840,33,Male,Medium,No,9259
C00842,54,Female,Medium,Yes,81369
C00843,66,Female,High,No,73005
C00845,22,Female,Low,Yes,10753
C00846,18,Female,Medium,Yes,5177
C00847,27,Female,Medium,Yes,12874
C00849,60,Male,Medium,Yes,51254
C00850,48,Female,High,No,6218
C00851,39,Male,Low,No,34639
C00852,64,Female,Low,No,16223
C00853,47,Female,Medium,No,99686
C00854,40,Male,Low,No,95032
C00855,58,Female,High,No,43824
C00856,56,Male,High,No,17146
C00857,28,Male,Low,No,91869
C00858,65,Male,Medium,Yes,20949
C00859,35,Male,Medium,No,14346
C00861,64,Male,High,No,69220
C00862,19,Female,Low,No,57987
