MachineID,Date,Failure,RepairType,DowntimeHours
M094,2025-01-05,N,Major,1.11
M083,2025-02-04,Y,Minor,3.56
M002,2025-06-03,N,Major,0.47
M099,01/02/2025,Y,,5.98
M038,08/02/2025,N,Minor,0.88
M031,2025-02-12,N,Major,9.44
M067,2025-05-07,N,Major,3.84
M096,26/01/2025,Y,Major,7.67
M078,2025-02-27,N,Major,5.0
M099,2025-02-03,N,Minor,0.48
M049,19/01/2025,Y,Minor,2.19
M018,2025-02-11,N,Major,4.06
M039,2025-02-16,Y,Minor,2.14
M033,2025-02-13,N,Major,1.71
M034,27/03/2025,N,Major,4.76
M041,2025-06-04,N,Major,15.51
M085,23/05/2025,N,Major,0.0
M089,26/06/2025,N,Minor,3.95
M069,21/06/2025,N,Major,1.77
M021,13/05/2025,N,,1.56
M080,2025-06-02,N,Minor,3.31
M004,11/01/2025,N,Major,17.08
M033,19/05/2025,Y,Major,1.4
M080,2025-05-17,N,Major,0.03
M063,2025-06-22,Y,Major,0.66
M040,27/05/2025,N,Minor,1.89
M025,2025-06-24,N,Major,2.86
M043,2025-06-13,N,Major,6.32
M027,2025-03-17,N,Minor,2.47
M036,19/01/2025,N,Major,8.22
M028,2025-01-09,N,Major,8.22
M056,2025-02-19,N,Major,0.28
M031,2025-03-12,N,Minor,1.57
M054,2025-04-02,Y,Minor,8.7
M059,2025-02-16,N,Major,9.13
M054,2025-03-23,Y,Major,4.85
M036,2025-06-30,N,Major,0.74
M047,22/02/2025,N,Major,6.69
M066,28/03/2025,N,Minor,4.25
M010,2025-01-24,N,Major,10.76
M025,2025-04-29,N,Minor,0.02
M082,2025-01-03,N,Minor,8.56
M084,2025-04-29,Y,Major,5.35
M054,2025-04-05,Y,Major,0.08
M059,2025-02-11,N,Major,8.92
M097,30/03/2025,N,Major,4.76
M021,2025-02-17,N,Major,6.87
M093,2025-06-28,N,Minor,5.78
M070,20/03/2025,N,Major,3.75
M070,24/05/2025,Y,Minor,1.39
M095,26/01/2025,Y,Major,3.04
M063,2025-01-25,N,Minor,5.14
M084,30/04/2025,N,Major,2.19
M059,2025-03-19,N,Minor,0.16
M085,05/04/2025,Y,Major,2.27
M067,08/05/2025,N,Major,0.85
M071,30/04/2025,Y,Major,1.33
M012,18/06/2025,N,Major,6.38
M030,22/01/2025,N,Major,1.63
M035,05/01/2025,Y,Major,0.2
M030,02/03/2025,Y,Major,4.86
M038,2025-03-07,N,Minor,1.67
M046,2025-04-14,N,Minor,6.11
M017,2025-03-06,Y,Minor,0.56
M026,2025-01-21,Y,Major,0.37
M002,2025-03-13,N,Minor,4.56
M022,2025-03-29,N,,0.78
M054,09/05/2025,N,Major,0.64
M002,2025-04-14,N,Major,3.84
M078,17/06/2025,Y,Major,6.4
M091,29/04/2025,Y,Minor,1.99
M015,12/04/2025,Y,Major,2.7
M060,2025-03-19,N,Minor,0.95
M021,2025-06-01,N,Major,0.69
M004,30/03/2025,N,Minor,3.2
M002,2025-02-15,N,Minor,5.77
M037,2025-05-18,Y,Minor,12.39
M062,2025-02-12,N,Minor,1.8
M090,2025-01-05,Y,Major,9.54
M050,2025-02-17,N,Major,23.1
M056,2025-02-18,Y,Minor,1.43
M061,2025-03-31,N,Major,3.61
M028,2025-01-10,N,Major,15.15
M058,2025-05-18,N,Minor,3.56
M046,2025-02-24,N,Major,6.92
M023,31/01/2025,N,,5.32
M070,2025-04-01,N,Major,17.23
M003,2025-03-04,Y,Minor,4.7
M037,22/05/2025,N,Minor,0.44
M051,2025-01-17,N,Major,3.97
M071,26/06/2025,N,Major,0.98
M048,2025-01-12,N,Minor,4.68
M001,2025-03-16,N,,0.27
M088,2025-02-08,N,Minor,0.09
M089,2025-05-12,N,Major,0.24
M018,31/03/2025,Y,Major,6.23
M046,2025-03-17,Y,Minor,9.47
M080,2025-01-01,N,,0.29
M064,2025-04-15,N,Minor,0.61
M033,2025-05-13,N,Major,21.72
M002,27/03/2025,N,Minor,1.8
M001,25/05/2025,N,Major,2.35
M040,2025-03-05,Y,Major,1.78
M033,2025-01-02,Y,Major,3.25
M093,2025-04-14,N,,1.67
M072,07/03/2025,N,Minor,2.99
M100,21/06/2025,N,Minor,0.88
M099,2025-06-23,N,Minor,5.77
M001,2025-02-21,N,Major,0.82
M010,31/01/2025,Y,Major,2.48
M055,2025-05-26,Y,Minor,18.48
M033,2025-03-31,N,Major,3.5
M074,2025-02-07,Y,Minor,7.83
M020,14/02/2025,Y,Minor,1.26
M051,2025-01-08,N,Major,2.87
M005,2025-06-16,Y,Major,7.86
M045,2025-02-21,Y,Minor,1.55
M031,2025-04-06,N,Major,5.75
M073,2025-05-02,Y,Minor,2.82
M099,2025-03-05,N,Major,6.33
M041,2025-06-02,Y,Major,0.16
M090,2025-04-05,Y,Minor,2.19
M037,07/06/2025,N,Major,10.04
M056,2025-06-09,N,Major,10.93
M077,2025-04-07,Y,Minor,2.46
M092,23/04/2025,N,Major,0.35
M082,2025-05-01,Y,Major,0.6
M019,2025-01-02,Y,Major,2.22
M008,2025-06-19,N,Minor,10.27
M052,2025-06-24,Y,Minor,4.09
M096,20/02/2025,N,Minor,11.54
M098,2025-01-31,N,Major,2.99
M004,10/03/2025,Y,Major,0.44
M091,2025-04-03,N,Minor,3.55
M004,15/05/2025,N,Major,1.47
M083,2025-04-24,N,Major,7.15
M077,2025-03-09,N,Minor,4.35
M036,2025-02-13,Y,Major,4.77
M084,2025-05-14,N,Major,9.32
M090,07/03/2025,N,Major,2.73
M069,2025-05-07,Y,Major,6.1
M020,2025-03-08,N,Major,3.37
M092,2025-02-22,N,Major,0.44
M076,2025-06-21,N,Major,1.62
M019,28/05/2025,N,Minor,4.1
M060,2025-01-27,N,Minor,6.47
M051,2025-06-03,N,Major,2.78
M057,2025-04-17,N,Major,1.27
M023,2025-06-05,N,Major,2.8
M043,05/05/2025,N,Major,20.47
M096,2025-03-30,N,Major,1.22
M004,2025-06-09,Y,Minor,16.49
M004,19/01/2025,Y,Major,3.17
M004,04/01/2025,Y,Minor,4.94
M013,2025-06-30,N,Major,6.62
M048,2025-06-02,N,Minor,3.54
M015,30/03/2025,N,Major,1.49
M054,27/03/2025,N,Minor,6.3
M090,2025-01-08,Y,Major,1.82
M016,2025-02-06,Y,Major,9.2
M083,2025-05-26,Y,Major,4.93
M019,2025-05-24,N,Minor,0.61
M083,14/06/2025,N,Major,0.75
M081,19/03/2025,N,Minor,0.43
M022,2025-01-26,Y,Minor,3.88
M093,2025-02-25,N,Minor,9.21
M036,26/04/2025,N,Minor,10.55
M042,01/01/2025,N,Major,3.42
M075,2025-06-23,N,Major,6.0
M017,29/01/2025,N,Minor,2.45
M050,03/03/2025,N,,7.04
M036,2025-05-29,Y,Minor,0.21
M069,13/06/2025,N,Major,3.95
M033,2025-06-28,N,Minor,4.96
M051,2025-05-17,N,Major,0.8
M022,31/01/2025,N,Major,1.42
M079,2025-04-07,N,,9.11
M026,15/05/2025,N,Major,0.03
M028,2025-02-20,N,Major,35.3
M093,2025-02-24,N,,9.97
M039,09/05/2025,N,Major,4.47
M040,2025-04-26,N,Minor,11.14
M005,2025-01-05,N,Minor,21.72
M012,13/01/2025,N,,0.32
M003,2025-06-07,N,Major,1.86
M019,08/05/2025,N,Major,1.76
M007,2025-05-11,N,Major,6.26
M073,01/06/2025,N,Major,0.5
M015,08/01/2025,Y,Major,3.66
M090,2025-01-24,N,Major,5.45
M053,2025-02-09,Y,Major,1.28
M073,2025-03-27,Y,Major,2.09
M077,2025-05-08,N,Major,2.26
M065,2025-06-20,N,Minor,1.52
M066,20/06/2025,N,Major,0.97
M032,13/02/2025,N,Minor,2.19
M028,2025-05-27,Y,Major,0.42
M077,21/06/2025,N,Minor,10.86
M083,28/02/2025,Y,Minor,1.56
M016,2025-05-21,Y,Major,7.0
M045,2025-06-08,N,,6.44
M054,21/03/2025,N,Major,0.71
M042,25/05/2025,N,Major,0.96
M031,2025-01-09,N,Minor,0.38
M057,2025-05-06,Y,Major,2.56
M054,2025-06-06,N,Major,0.7
M044,2025-02-03,N,Minor,1.47
M056,29/03/2025,N,Minor,13.01
M003,20/06/2025,N,Major,6.43
M059,2025-02-23,N,Major,0.34
M029,13/01/2025,N,Major,2.55
M006,2025-02-14,Y,Major,7.47
M076,2025-04-07,N,,7.28
M055,2025-02-06,Y,Major,19.12
M004,2025-02-04,N,Major,1.0
M094,2025-03-25,N,Major,3.99
M055,2025-03-18,N,Major,2.79
M098,11/06/2025,N,Major,15.79
M039,2025-06-05,N,Major,0.7
M052,19/02/2025,N,Major,0.18
M092,2025-02-05,Y,Major,1.53
M052,11/04/2025,N,Major,14.61
M040,2025-06-01,N,Major,5.09
M045,21/04/2025,N,Major,5.69
M095,03/05/2025,N,Major,0.43
M036,2025-02-23,Y,,5.36
M006,2025-04-07,N,Major,7.71
M028,2025-06-30,Y,Minor,1.99
M059,2025-01-26,N,Minor,1.18
M067,2025-04-18,N,Minor,11.21
M029,2025-04-22,N,Minor,4.69
M056,2025-06-14,Y,Major,5.88
M063,2025-01-18,Y,Major,0.68
M047,2025-03-08,Y,Minor,3.35
M049,2025-05-20,N,Minor,1.53
M013,08/05/2025,Y,Major,6.75
M097,2025-02-22,N,Minor,13.54
M068,2025-04-23,N,,0.61
M005,2025-03-13,N,Major,6.99
M014,2025-04-23,N,Minor,8.13
M081,2025-04-09,N,Minor,1.16
M020,2025-04-14,N,Minor,3.0
M088,2025-04-21,N,Minor,9.96
M049,2025-06-24,N,Major,1.85
M064,24/02/2025,N,Major,11.07
M042,29/05/2025,N,Major,0.88
M074,2025-04-28,N,Major,1.43
M046,2025-03-27,N,Minor,5.56
M062,2025-03-28,N,Major,0.52
M042,17/03/2025,N,Major,14.82
M019,2025-03-10,N,Minor,21.93
M069,07/04/2025,Y,Minor,7.78
M025,2025-04-29,N,Major,0.9
M072,08/06/2025,N,Major,2.71
M007,2025-01-03,N,Minor,5.07
M078,2025-02-15,N,Major,1.79
M095,06/02/2025,Y,,6.46
M016,2025-06-20,Y,Minor,3.49
M048,2025-02-25,N,Major,5.0
M021,2025-06-26,N,Major,2.38
M051,2025-03-01,N,Major,18.38
M060,20/06/2025,N,Major,12.52
M039,2025-06-22,N,Minor,6.07
M013,2025-03-17,N,Minor,7.46
M051,09/04/2025,N,Major,4.49
M020,14/03/2025,N,Major,0.8
M010,2025-06-18,N,Major,14.17
M033,2025-04-11,N,Minor,5.35
M024,2025-01-09,N,Major,5.22
M012,21/02/2025,Y,Major,5.48
M013,14/04/2025,N,,5.88
M078,2025-02-10,N,Minor,8.55
M079,09/04/2025,N,Minor,0.94
M046,31/05/2025,N,Minor,25.45
M020,2025-05-06,N,Major,2.38
M045,2025-03-18,N,Major,5.12
M089,2025-06-12,Y,Major,0.26
M063,09/02/2025,N,Major,4.1
M024,2025-01-21,N,Major,1.08
M079,2025-02-24,N,Major,1.64
M082,2025-03-06,N,Minor,6.22
M023,26/02/2025,N,Major,6.77
M023,2025-06-08,N,Major,0.34
M002,2025-04-12,Y,Major,11.1
M017,23/06/2025,Y,Minor,0.57
M037,30/04/2025,N,Major,3.41
M012,2025-06-30,N,Minor,6.72
M098,2025-06-05,Y,Major,1.64
M021,28/04/2025,N,,1.81
M022,2025-03-07,N,Major,0.35
M079,28/06/2025,Y,Major,1.73
M045,2025-01-31,N,,5.21
M032,2025-04-07,Y,,5.11
M053,2025-06-17,N,Major,0.96
M074,2025-06-16,Y,Major,21.8
M069,01/04/2025,Y,Major,1.38
M093,2025-03-29,Y,Major,1.13
M041,10/02/2025,Y,Major,1.37
M074,2025-05-01,Y,Major,3.24
M089,2025-02-22,Y,Minor,15.0
M066,2025-06-18,Y,Minor,13.53
M024,17/05/2025,N,Major,7.57
M023,2025-03-05,N,,9.01
M021,2025-06-28,Y,Minor,20.08
M042,19/05/2025,Y,Major,2.92
M097,2025-06-23,N,Minor,7.48
M008,2025-03-30,Y,Major,8.1
M058,2025-03-18,N,Major,3.84
M013,2025-01-13,N,Major,0.55
M041,2025-05-29,N,Minor,1.54
M100,29/05/2025,Y,Major,4.78
M012,24/03/2025,Y,Major,11.03
M023,20/04/2025,Y,Major,4.49
M047,2025-05-27,N,Minor,0.67
M037,09/06/2025,Y,Major,0.81
M047,18/02/2025,Y,Major,7.03
M077,2025-04-16,Y,Major,4.48
M035,08/01/2025,N,Minor,10.23
M099,2025-02-03,N,Major,5.69
M096,2025-02-27,N,Minor,7.01
M038,2025-03-01,N,Minor,7.59
M059,03/04/2025,Y,Minor,9.49
M040,23/03/2025,Y,Major,0.34
M053,2025-06-14,N,Major,0.61
M087,2025-05-11,Y,Major,2.92
M095,2025-03-10,Y,Major,1.97
M090,2025-01-01,Y,Major,0.81
M083,2025-03-12,N,Minor,1.07
M061,01/03/2025,Y,Minor,2.94
M089,2025-03-04,N,Minor,2.1
M039,25/05/2025,N,Major,5.42
M077,11/06/2025,N,Minor,8.29
M079,19/04/2025,N,Major,3.88
M030,2025-01-30,Y,Major,0.42
M082,2025-06-14,N,Minor,1.7
M008,2025-06-24,N,Major,0.67
M089,2025-05-26,N,Minor,4.85
M088,22/03/2025,Y,Major,0.22
M089,2025-03-09,N,Major,5.9
M023,07/05/2025,N,Major,0.02
M095,18/02/2025,N,Minor,4.9
M023,2025-02-26,N,Minor,1.65
M058,2025-03-04,Y,Minor,4.1
M074,2025-02-21,N,Minor,3.63
M098,2025-06-10,N,Minor,17.49
M089,2025-05-16,N,Major,3.95
M034,2025-05-01,N,Major,9.2
M056,2025-04-08,Y,Major,13.0
M026,2025-02-03,N,,0.54
M077,2025-01-26,N,Major,0.17
M010,2025-01-30,N,Major,2.24
M036,2025-03-20,N,Major,1.67
M007,2025-04-29,N,Minor,3.17
M003,2025-06-06,N,Major,2.76
M007,2025-06-30,Y,Minor,0.48
M074,10/04/2025,N,Major,9.44
M090,28/06/2025,N,Major,2.51
M005,2025-05-28,N,Major,3.19
M088,2025-04-14,Y,Minor,3.85
M091,2025-01-08,N,Major,10.0
M024,09/01/2025,N,,0.36
M061,12/05/2025,Y,Major,2.72
M036,13/06/2025,Y,Minor,0.66
M068,19/03/2025,Y,Minor,5.75
M050,2025-01-11,N,Major,2.99
M100,12/02/2025,Y,Minor,4.28
M015,2025-03-26,N,Major,0.18
M005,2025-06-13,N,Minor,13.68
M045,2025-03-06,N,Minor,4.82
M046,08/04/2025,N,Minor,1.4
M011,2025-06-09,N,Minor,2.47
M042,10/01/2025,N,Minor,8.78
M041,2025-06-29,N,Minor,3.04
M012,2025-05-20,Y,Minor,1.45
M038,2025-05-05,N,Minor,3.32
M047,10/02/2025,N,Minor,12.05
M046,2025-01-17,N,Major,0.28
M098,11/03/2025,N,Major,7.86
M024,12/02/2025,Y,,17.3
M021,2025-06-08,N,Minor,2.27
M032,2025-02-04,N,Minor,0.21
M098,2025-01-24,N,Minor,5.38
M089,27/04/2025,N,,8.84
M048,23/03/2025,N,Minor,1.64
M039,2025-01-03,N,,5.82
M004,09/03/2025,N,Major,8.32
M100,2025-01-14,N,Minor,0.18
M020,2025-01-24,Y,Major,11.1
M038,21/02/2025,Y,Minor,0.06
M057,29/04/2025,N,Major,6.19
M082,2025-04-30,N,Minor,0.33
M054,19/02/2025,Y,Minor,8.54
M069,24/05/2025,Y,Major,9.91
M040,2025-05-15,N,Major,0.14
M041,2025-02-04,Y,Minor,1.26
M096,2025-01-02,N,Major,8.92
M041,2025-06-01,N,Minor,0.82
M018,2025-05-18,N,Major,6.23
M029,2025-02-16,Y,Minor,3.22
M041,2025-04-16,N,Minor,0.64
M077,2025-03-14,N,Major,7.99
M055,2025-04-07,N,Major,8.35
M043,2025-03-16,Y,Minor,0.31
M073,2025-03-28,N,Minor,4.8
M047,2025-03-05,N,Major,13.41
M095,2025-05-02,N,Major,7.46
M015,2025-01-19,N,Major,12.39
M100,2025-05-30,N,Major,10.88
M040,2025-01-17,N,Major,4.74
M083,11/03/2025,N,Major,5.79
M057,2025-04-10,N,Major,1.78
M086,2025-02-17,N,Major,0.15
M056,2025-01-15,N,Major,5.03
M019,2025-02-17,N,Major,6.64
M007,2025-03-22,Y,Major,10.15
M023,2025-01-17,N,Minor,19.13
M064,14/04/2025,Y,Major,3.48
M052,26/02/2025,Y,Major,3.8
M023,2025-03-27,N,,2.07
M062,2025-06-13,N,Minor,5.34
M073,06/01/2025,Y,Major,4.3
M087,2025-02-28,N,Minor,5.55
M087,2025-04-29,N,Minor,6.57
M074,2025-05-01,N,Major,5.35
M028,2025-01-24,N,Major,2.47
M052,11/05/2025,Y,Major,5.83
M053,25/01/2025,N,Minor,3.21
M089,21/06/2025,Y,Major,3.74
M059,2025-04-29,N,Minor,5.04
M018,2025-03-25,N,Major,1.29
M033,2025-06-11,N,Major,0.35
M079,2025-02-10,N,Major,0.26
M034,25/01/2025,N,Minor,15.38
M063,2025-03-23,N,Major,6.75
M063,20/01/2025,Y,Major,3.75
M042,2025-04-09,N,Minor,1.87
M057,2025-02-23,N,Major,0.91
M049,2025-05-02,N,Major,5.56
M084,10/01/2025,N,Major,2.68
M068,15/02/2025,N,Major,2.86
M051,2025-04-12,N,Minor,10.51
M022,2025-01-21,Y,Major,5.23
M095,2025-01-21,N,Major,14.12
M074,2025-02-28,N,Minor,1.91
M012,2025-01-14,N,Major,1.86
M025,20/04/2025,N,Minor,4.51
M091,2025-03-26,N,,1.29
M037,2025-02-19,Y,Minor,0.9
M084,2025-02-19,N,Major,2.53
M006,2025-03-12,Y,Major,4.61
M034,31/01/2025,N,Major,10.68
M018,2025-05-31,Y,Major,4.88
M082,2025-05-11,Y,Major,4.06
M017,29/06/2025,N,Major,8.38
M066,2025-01-23,Y,Minor,14.39
M042,2025-05-08,N,Minor,5.06
M035,2025-05-01,Y,Major,6.37
M089,2025-01-17,N,,10.58
M011,2025-06-21,N,Major,4.35
M031,2025-01-07,Y,Minor,3.89
M055,2025-03-10,Y,Major,14.09
M074,2025-06-06,Y,Major,2.67
M006,16/05/2025,Y,Major,3.55
M004,05/02/2025,Y,Minor,0.81
M036,2025-06-27,N,,4.15
M047,2025-02-05,N,,2.14
M084,11/03/2025,N,Major,9.13
M014,2025-06-11,N,Major,10.03
M078,2025-03-25,N,Major,0.53
M054,24/05/2025,Y,Major,0.07
M016,06/01/2025,N,Major,0.52
M056,2025-04-11,N,Major,24.6
M049,2025-03-19,Y,Minor,0.77
M005,2025-06-12,Y,Minor,0.89
M001,2025-06-09,N,Major,5.6
M011,2025-03-16,Y,Minor,4.9
M072,2025-02-06,Y,Minor,0.22
M005,2025-01-22,N,Major,1.3
M037,2025-03-02,N,Major,20.42
M006,2025-01-22,N,Minor,0.34
M080,2025-05-24,N,Major,4.53
M004,2025-01-18,Y,Major,1.36
M074,2025-05-16,N,Minor,0.99
M100,27/01/2025,N,Minor,3.18
M045,2025-01-30,Y,Major,17.03
M006,09/04/2025,N,Major,2.29
M020,25/03/2025,Y,Major,3.99
M079,14/05/2025,N,Minor,4.41
M060,23/05/2025,Y,Major,1.47
M011,2025-02-28,N,Minor,1.68
M059,2025-02-05,N,Major,0.22
M068,2025-04-10,N,Minor,2.29
M006,11/03/2025,N,Major,1.51
M060,2025-03-16,N,,10.38
M083,2025-05-23,N,Minor,6.57
M086,2025-02-22,N,Major,7.46
M009,24/05/2025,Y,Major,0.23
M072,2025-05-16,N,Minor,2.22
M011,2025-06-12,N,Major,8.15
M047,2025-05-26,N,Minor,6.21
M037,2025-05-18,N,Major,4.74
M041,2025-06-15,Y,Major,11.81
M008,2025-04-17,N,Major,5.65
M095,2025-03-20,N,Major,5.57
M026,21/05/2025,N,Minor,0.51
M070,2025-02-25,N,Minor,5.89
M063,2025-02-27,N,,1.49
M041,2025-05-31,N,Major,3.22
M039,17/01/2025,N,Major,5.15
M097,2025-02-14,N,Minor,0.64
M089,05/01/2025,N,Minor,5.92
M027,2025-02-19,Y,Major,2.21
M050,09/06/2025,N,Major,9.08
M064,2025-06-17,N,Major,5.59
M044,31/03/2025,Y,Major,0.52
M021,2025-03-13,Y,Major,6.59
M097,2025-01-15,N,Major,9.64
M010,02/04/2025,N,Minor,1.31
M085,2025-02-11,Y,Minor,14.38
M024,2025-01-19,Y,,18.35
M024,02/02/2025,N,Minor,5.85
M013,2025-05-21,N,Major,2.9
M002,23/04/2025,N,Minor,0.5
M025,05/01/2025,Y,Major,0.02
M001,2025-04-13,N,Minor,2.68
M047,17/02/2025,N,Minor,0.46
M009,02/04/2025,N,Minor,1.23
M064,2025-06-03,Y,Minor,0.86
M100,23/04/2025,N,Major,0.37
M052,2025-04-29,Y,Major,10.37
M030,2025-02-25,N,Major,3.56
M052,2025-03-08,Y,Major,0.13
M053,2025-03-28,N,Minor,12.72
M098,2025-03-05,N,Minor,1.28
M078,2025-02-18,Y,Major,2.79
M025,2025-03-17,N,Major,9.61
M024,2025-04-06,Y,Minor,1.09
M072,2025-06-07,N,Minor,1.52
M017,2025-02-14,N,Minor,0.57
M079,2025-01-11,N,Minor,0.77
M090,2025-06-04,N,Minor,0.07
